cell,drug1_db,drug2_db,synergy
EFM-19,5-Fluorouracil,Axitinib,0
HCC1599,Vorinostat,Axitinib,0
BxPC-3,Galunisertib,Navitoclax,0
HCC2157,Linsitinib,Gemcitabine,0
COLO-824,Trametinib,Paclitaxel,0
CAMA-1,Olaparib,Trametinib,0
DAN-G,Galunisertib,Erlotinib,0
HCC1599,Vorinostat,PF-4708671,0
HCC1419,Olaparib,Wee1 Inhibitor,0
CAL-120,OSI-027,Bortezomib,0
YAPC,Galunisertib,Dactolisib,0
BT-483,Trametinib,PF-4708671,0
COLO-678,Afatinib,BMS-754807,0
LS-123,Oxaliplatin,LGK974,0
MIA-PaCa-2,Lapatinib,OSI-027,0
SW1116,5-Fluorouracil,AZD8055,0
SW48,Oxaliplatin,BMS-754807,0
MDA-MB-175-VII,Olaparib,MK-2206,0
CaR-1,Linsitinib,MK-2206,1
PA-TU-8988T,Olaparib,Taselisib,0
Hs-766T,LGK974,Sorafenib,0
CAL-148,Docetaxel,Pictilisib,0
HDQ-P1,Taselisib,OSI-027,0
MDA-MB-330,Crizotinib,RO-3306,0
KP-4,Cisplatin,MK-2206,0
YAPC,Paclitaxel,Taselisib,0
NCI-H747,Crizotinib,Camptothecin,0
MDA-MB-453,Navitoclax,SB216763,0
T84,LGK974,Olaparib,0
SNU-1040,MK-1775,AZD8055,0
ZR-75-1,Linsitinib,Wee1 Inhibitor,0
BT-20,Axitinib,BI-2536,0
MDA-MB-330,Palbociclib,Luminespib,0
MDA-MB-436,Linsitinib,Entinostat,0
HCC70,AZD7762,Temozolomide,0
HCT-116,5-Fluorouracil,AZD8055,0
MDST8,5-Fluorouracil,Vinorelbine,0
PANC-10-05,5-Fluorouracil,Linsitinib,0
EVSA-T,Bortezomib,Sorafenib,0
HCC1937,Trametinib,5-Fluorouracil,0
CAPAN-1,LGK974,Trametinib,0
EFM-19,Temozolomide,Venetoclax,0
T47D,AZD7762,Taselisib,0
HCC1500,Palbociclib,OSI-027,0
MDA-MB-453,5-Fluorouracil,Uprosertib,0
HCC1569,Olaparib,RO-3306,0
COLO-824,Luminespib,AZD6482,0
MDA-MB-468,5-Fluorouracil,OSI-027,0
BT-20,Trametinib,Sapitinib,1
BT-483,Trametinib,Alpelisib,0
T47D,Palbociclib,5-Fluorouracil,0
HCC1937,Gemcitabine,PF-4708671,0
HCC1419,Linsitinib,Trametinib,0
HCC1500,Sapitinib,MK-1775,0
MRK-nu-1,Taselisib,Alisertib,0
CAL-85-1,Trametinib,OSI-027,0
HT-29,AZD7762,SB505124,0
SUIT-2,Crizotinib,Navitoclax,0
MDA-MB-157,OSI-027,MK-1775,0
AsPC-1,Gemcitabine,Palbociclib,0
MDA-MB-453,Cisplatin,Ribociclib,0
MDA-MB-361,AZD7762,Gemcitabine,1
PANC-10-05,MK-2206,Navitoclax,0
MDA-MB-157,Crizotinib,Linsitinib,0
HCC1187,Axitinib,PD173074,0
MRK-nu-1,MK-1775,AZD8055,0
LS-123,MK-2206,Taselisib,0
NCI-H747,SB216763,Linsitinib,0
BT-549,Navitoclax,Palbociclib,0
COLO-320-HSR,Camptothecin,MK-2206,0
MDA-MB-157,AZD7762,5-Fluorouracil,1
MDA-MB-175-VII,Trametinib,AZD8055,1
OCUB-M,AZD7762,Alpelisib,0
EVSA-T,PD173074,Gemcitabine,1
MIA-PaCa-2,Linsitinib,5-Fluorouracil,0
HCC202,Pictilisib,Palbociclib,0
MCF7,MK-2206,Entinostat,0
AU565,Sapitinib,Dabrafenib,0
MDA-MB-231,OSI-027,MK-2206,0
MZ1-PC,Cisplatin,Irinotecan,0
PSN1,SCH772984,Irinotecan,0
HT55,LGK974,Olaparib,0
MDA-MB-436,Linsitinib,RO-3306,0
LoVo,AZD4547,Trametinib,0
ZR-75-30,Olaparib,OSI-027,0
GP5d,Navitoclax,LGK974,0
MDA-MB-231,Taselisib,Lapatinib,0
HCC38,Sapitinib,Linsitinib,0
CAMA-1,OSI-027,Wee1 Inhibitor,0
ZR-75-1,Palbociclib,Trametinib,0
SW837,LGK974,AZD4547,0
EFM-192A,Bortezomib,Olaparib,0
PANC-02-03,Taselisib,Crizotinib,0
HCC1599,Pictilisib,AZD6482,0
HCC202,Pictilisib,Cisplatin,0
UACC-812,Cisplatin,MK-2206,0
PANC-10-05,Cisplatin,Erlotinib,0
BT-474,Luminespib,Doramapimod,0
HCC1143,Bortezomib,Taselisib,0
CL-11,MK-2206,5-Fluorouracil,0
SW1116,AZD7762,5-Fluorouracil,0
HCC1500,MK-2206,Palbociclib,0
HCC1428,Vorinostat,Bortezomib,0
OCUB-M,Bortezomib,AZD6482,0
UACC-812,AZD7762,Linsitinib,0
HDQ-P1,Lapatinib,Vorinostat,0
DU-4475,Lapatinib,Wee1 Inhibitor,0
HCC1143,Cisplatin,SB216763,0
CAMA-1,Cisplatin,Entinostat,0
CAL-148,Pictilisib,5-Fluorouracil,0
SW620,MK-1775,LGK974,0
BT-474,Linsitinib,KU-55933,0
SW48,SB216763,Afatinib,0
AU565,Crizotinib,NU7441,0
RKO,BMS-754807,Camptothecin,0
CAMA-1,Navitoclax,Docetaxel,0
HCC1569,AZD7762,Luminespib,0
HCC70,5-Fluorouracil,AZD8055,0
HuP-T3,Galunisertib,Olaparib,0
HCC2218,Olaparib,Tozasertib,0
SK-CO-1,BMS-754807,Camptothecin,0
BT-549,Sapitinib,Paclitaxel,0
HCC1500,Luminespib,AZD7762,0
HT-115,SCH772984,5-Fluorouracil,0
KP-2,Palbociclib,OSI-027,0
BT-549,PD173074,NU7441,0
MDA-MB-415,Bortezomib,Docetaxel,0
DAN-G,Erlotinib,Palbociclib,1
OCUB-M,Palbociclib,GSK269962A,0
AsPC-1,OSI-027,Lapatinib,0
BT-549,Axitinib,Trametinib,0
MRK-nu-1,Linsitinib,Nilotinib,0
HCC1806,Lapatinib,Crizotinib,0
SW620,Taselisib,Vinorelbine,0
HCC1428,Olaparib,Camptothecin,0
MDA-MB-415,PD173074,ZM447439,0
HuP-T3,Trametinib,OSI-027,0
SNU-407,Crizotinib,Navitoclax,0
HT-115,Navitoclax,Linsitinib,1
CAL-148,Temozolomide,Ribociclib,0
COLO-824,Sapitinib,Lapatinib,0
KM12,AZD7762,Sapitinib,0
SNU-C2B,SCH772984,Taselisib,0
HDQ-P1,OSI-027,Wee1 Inhibitor,0
HDQ-P1,Gemcitabine,AZD8055,0
AU565,OSI-027,Alisertib,0
HCC1954,Linsitinib,AZD6482,0
HCC1500,MK-2206,Camptothecin,0
HCC2218,Temozolomide,Navitoclax,0
BT-20,PD173074,MK-2206,0
PANC-03-27,Erlotinib,Dactolisib,0
HCC1806,PD173074,Trametinib,0
T47D,Gemcitabine,Afatinib,0
PA-TU-8988T,Paclitaxel,Trametinib,0
DU-4475,MK-2206,Palbociclib,0
OCUB-M,OSI-027,AZD6482,0
C2BBe1,Vinorelbine,MK-1775,0
HCC1187,Pictilisib,Alpelisib,0
HCC1187,Luminespib,GSK269962A,0
SW1116,Sapitinib,LGK974,0
MDA-MB-361,Linsitinib,Sorafenib,0
CAL-85-1,Docetaxel,Paclitaxel,0
MDA-MB-175-VII,Vorinostat,Alpelisib,0
MDA-MB-468,Linsitinib,Wee1 Inhibitor,0
BT-474,Crizotinib,SB216763,0
KP-2,SCH772984,5-Fluorouracil,0
CAL-120,Vorinostat,Venetoclax,0
HCT-15,Vinorelbine,Camptothecin,0
SW948,Crizotinib,AZD7762,0
HCC2998,Oxaliplatin,Linsitinib,0
UACC-893,MK-1775,OSI-027,0
HCC2998,AZD7762,Dabrafenib,0
EFM-19,MK-2206,AZD6482,0
MCF7,Olaparib,5-Fluorouracil,0
SUIT-2,Paclitaxel,Crizotinib,0
KP-3,Crizotinib,OSI-027,0
Hs-578-T,Docetaxel,Taselisib,0
PL4,AZD7762,SCH772984,0
CAL-85-1,Vorinostat,PD173074,0
UACC-893,Trametinib,Olaparib,0
MRK-nu-1,Vorinostat,PF-4708671,0
HCC1419,Linsitinib,NU7441,0
HCC2157,Trametinib,BI-2536,0
CAL-120,Trametinib,Sapitinib,0
MDA-MB-175-VII,Palbociclib,RO-3306,0
CAMA-1,5-Fluorouracil,Sapitinib,0
MDA-MB-468,Gemcitabine,Palbociclib,0
UACC-893,Taselisib,Sorafenib,0
HCC1954,Vorinostat,Ribociclib,0
SU8686,Dactolisib,Galunisertib,0
KP-3,MK-2206,Gemcitabine,0
BxPC-3,Dactolisib,5-Fluorouracil,0
PA-TU-8988T,Navitoclax,Galunisertib,0
MDA-MB-468,PD173074,Alpelisib,0
KP-3,Dasatinib,Palbociclib,0
SNU-81,Dabrafenib,SB216763,0
COLO-678,SCH772984,Trametinib,0
UACC-812,Olaparib,Linsitinib,0
HCT-116,MK-2206,5-Fluorouracil,0
PANC-10-05,Crizotinib,AZD7762,0
UACC-893,5-Fluorouracil,Ribociclib,0
LS-180,Sapitinib,AZD7762,0
MDA-MB-330,Sapitinib,BI-2536,0
HCC1954,Cisplatin,AZD6482,0
EVSA-T,Vorinostat,5-Fluorouracil,0
HCC1419,PD173074,Crizotinib,0
SW1463,Trametinib,Camptothecin,0
CFPAC-1,Ruxolitinib,Dactolisib,0
BxPC-3,Trametinib,OSI-027,0
NCI-H747,5-Fluorouracil,Navitoclax,0
CAL-85-1,Cisplatin,Axitinib,0
HCC1428,Luminespib,Doramapimod,0
CL-11,Linsitinib,5-Fluorouracil,0
SW1990,AZD7762,OSI-027,0
MDA-MB-453,Lapatinib,Bortezomib,0
SK-CO-1,SB505124,BMS-754807,0
SUIT-2,Ruxolitinib,Navitoclax,0
KP-3,Irinotecan,Dasatinib,0
BT-474,Navitoclax,Docetaxel,0
KP-4,Galunisertib,Palbociclib,0
BT-483,Docetaxel,Palbociclib,0
HCT-15,SB216763,Afatinib,0
MZ1-PC,Sorafenib,5-Fluorouracil,0
EVSA-T,Cisplatin,Sorafenib,0
EFM-192A,Axitinib,Camptothecin,0
HCC1937,Gemcitabine,Linsitinib,0
HCC1143,MK-2206,AZD8055,0
ZR-75-1,Sapitinib,PD173074,0
LS-411N,5-Fluorouracil,Sapitinib,0
UACC-893,Bortezomib,Linsitinib,0
PA-TU-8988T,OSI-027,Trametinib,0
MDA-MB-436,Docetaxel,Alpelisib,0
HCC1187,Crizotinib,Camptothecin,0
HCC2998,SB216763,AZD7762,0
T47D,Bortezomib,Cisplatin,0
OCUB-M,Gemcitabine,BI-2536,0
MDA-MB-361,Olaparib,Pictilisib,0
LS-513,Olaparib,Camptothecin,0
HCC1395,Vorinostat,JQ1,0
MDA-MB-468,MK-2206,Alisertib,0
SNU-175,AZD8055,Olaparib,0
PANC-10-05,Galunisertib,SCH772984,0
HCC1187,Docetaxel,Tozasertib,0
HT55,Taselisib,Trametinib,0
HCC1500,Docetaxel,MK-2206,0
SW1463,MK-2206,Navitoclax,0
GP5d,Taselisib,Linsitinib,0
SUIT-2,SCH772984,Irinotecan,0
CAPAN-2,Taselisib,Lapatinib,0
HCC1954,Olaparib,Trametinib,0
CL-11,Oxaliplatin,Linsitinib,0
SW1116,LGK974,5-Fluorouracil,0
SUIT-2,Palbociclib,Cisplatin,0
KP-1N,Taselisib,Sorafenib,0
HCC1599,Sapitinib,BI-2536,0
NCI-H716,Palbociclib,AZD4547,0
MDA-MB-415,Temozolomide,AZD8055,0
HDQ-P1,Temozolomide,PF-4708671,0
YAPC,Trametinib,Cisplatin,0
HCC70,PD173074,NU7441,0
JIMT-1,Trametinib,Doramapimod,0
LS-411N,SCH772984,5-Fluorouracil,0
HCC1143,Bortezomib,Nilotinib,0
MDA-MB-175-VII,5-Fluorouracil,KU-55933,0
EVSA-T,Olaparib,ZM447439,0
EVSA-T,Crizotinib,Sorafenib,0
CAL-148,Gemcitabine,Cisplatin,0
HCC1428,Gemcitabine,Pictilisib,0
CAL-120,Olaparib,Pictilisib,0
EFM-19,Lapatinib,MK-1775,0
HCC1428,Luminespib,Docetaxel,0
HCC1806,Docetaxel,OSI-027,0
Hs-578-T,Axitinib,Pictilisib,0
SW620,Trametinib,Linsitinib,0
HCC1569,OSI-027,AZD6482,0
SNU-81,Oxaliplatin,AZD7762,0
EVSA-T,Trametinib,Camptothecin,0
SU8686,AZD7762,5-Fluorouracil,0
HCC2218,Linsitinib,Entinostat,1
COLO-678,LGK974,BMS-754807,0
BT-549,Olaparib,Afatinib,0
HCT-15,LGK974,Trametinib,0
Hs-766T,Crizotinib,AZD7762,0
BT-20,Lapatinib,AZD7762,0
HCC1806,Temozolomide,AZD8055,0
T84,Palbociclib,Navitoclax,0
HCC2998,Dabrafenib,Afatinib,0
PSN1,Dasatinib,LGK974,0
MFM-223,Cisplatin,Camptothecin,0
COLO-824,Crizotinib,Docetaxel,0
HT-115,Camptothecin,Oxaliplatin,0
LS-123,SB216763,Olaparib,0
KM12,Navitoclax,AZD4547,0
SNU-C5,AZD4547,Palbociclib,0
HCC1806,Navitoclax,Alpelisib,0
AU565,Navitoclax,AZD7762,0
AU565,Docetaxel,PD173074,0
HCC1419,Luminespib,Ribociclib,0
CAL-51,Gemcitabine,5-Fluorouracil,0
CAL-148,PD173074,Gemcitabine,0
HCC1806,PD173074,MK-2206,0
LoVo,SCH772984,MK-1775,0
HCC1187,Vorinostat,RO-3306,0
T84,Palbociclib,Linsitinib,0
HCC1419,5-Fluorouracil,Wee1 Inhibitor,0
ZR-75-30,Gemcitabine,Taselisib,0
BT-483,Trametinib,Cisplatin,0
MZ1-PC,Lapatinib,Crizotinib,0
CFPAC-1,Oxaliplatin,Irinotecan,0
ZR-75-30,AZD7762,BI-2536,0
OCUB-M,5-Fluorouracil,MK-1775,0
CAPAN-1,Linsitinib,Palbociclib,0
LS-180,MK-2206,AZD8055,1
MDA-MB-415,Lapatinib,AZD6482,0
AU565,Luminespib,Olaparib,0
CAL-120,5-Fluorouracil,MK-1775,0
SNU-C5,Palbociclib,Taselisib,0
MDA-MB-453,Bortezomib,Linsitinib,0
NCI-H716,AZD7762,SCH772984,0
BT-474,Sapitinib,Uprosertib,0
HCC2218,Lapatinib,Afatinib,0
CAL-120,Axitinib,Dabrafenib,0
HCT-116,BMS-754807,5-Fluorouracil,0
SNU-175,LGK974,Linsitinib,0
MDA-MB-453,Docetaxel,Linsitinib,0
CAL-51,Olaparib,Taselisib,0
MFM-223,5-Fluorouracil,Afatinib,0
EFM-19,5-Fluorouracil,AZD6482,0
T47D,PD173074,Venetoclax,0
SNU-175,BMS-754807,AZD7762,1
CFPAC-1,Linsitinib,MK-2206,0
PSN1,Palbociclib,Taselisib,1
LS-513,Olaparib,AZD7762,0
SW1417,Vinorelbine,MK-1775,0
AsPC-1,MK-1775,Lapatinib,0
HCC1569,AZD7762,Dabrafenib,0
SNU-175,5-Fluorouracil,Vinorelbine,0
MDA-MB-436,Linsitinib,Nilotinib,0
HPAC,OSI-027,MK-2206,0
UACC-893,Vorinostat,Crizotinib,0
UACC-893,5-Fluorouracil,Entinostat,0
HCC1500,Axitinib,Tozasertib,0
LS-123,Olaparib,Trametinib,0
CaR-1,5-Fluorouracil,Crizotinib,0
OCUB-M,Sapitinib,Sorafenib,0
HPAC,OSI-027,Taselisib,0
EFM-19,Temozolomide,Pictilisib,0
NCI-H716,Crizotinib,Navitoclax,0
KP-1N,Galunisertib,Cisplatin,0
HCC1937,Axitinib,PF-4708671,0
HCT-15,Navitoclax,AZD4547,0
LoVo,Taselisib,Linsitinib,0
SW620,Vinorelbine,Afatinib,0
MZ1-PC,Dactolisib,Irinotecan,0
PANC-02-03,Gemcitabine,Galunisertib,0
HCC1954,AZD7762,KU-55933,0
HCT-15,Oxaliplatin,BMS-754807,0
CFPAC-1,Linsitinib,Taselisib,0
KP-3,Dactolisib,Linsitinib,0
LoVo,SCH772984,Palbociclib,0
COLO-678,Linsitinib,Vinorelbine,0
BT-474,5-Fluorouracil,AZD7762,0
CAL-148,PD173074,Linsitinib,0
HCC1428,Sapitinib,GSK269962A,0
SNU-81,MK-1775,Trametinib,0
HCC1187,Docetaxel,MK-2206,0
DU-4475,Cisplatin,Afatinib,0
HCC1187,AZD7762,Taselisib,0
HCC2218,Linsitinib,Pictilisib,0
EVSA-T,Trametinib,Sapitinib,0
LS-180,MK-1775,AZD8055,0
HCC1599,Linsitinib,Pictilisib,0
AU565,Navitoclax,MK-1775,0
ZR-75-30,Olaparib,NU7441,0
HCT-116,LGK974,SB216763,0
CAL-85-1,Sapitinib,PD173074,0
COLO-824,Taselisib,Axitinib,0
SK-CO-1,MK-2206,Dabrafenib,0
ZR-75-1,Gemcitabine,Lapatinib,0
UACC-893,Luminespib,KU-55933,0
SUIT-2,Erlotinib,Crizotinib,0
HCC1599,Bortezomib,Afatinib,0
HDQ-P1,Navitoclax,Axitinib,1
HCC1937,Vorinostat,MK-1775,0
CAL-85-1,OSI-027,Gemcitabine,0
HCC1954,MK-2206,Trametinib,0
ZR-75-1,Crizotinib,Uprosertib,0
MIA-PaCa-2,Navitoclax,Trametinib,0
MDA-MB-415,Luminespib,Vorinostat,0
BT-20,Olaparib,Tozasertib,0
HCC1143,MK-1775,Pictilisib,0
SNU-407,Camptothecin,Taselisib,0
T47D,Olaparib,Alisertib,0
HCC1599,Taselisib,Dabrafenib,0
EFM-192A,PD173074,Wee1 Inhibitor,0
SNU-C5,AZD4547,Vinorelbine,0
MDA-MB-468,Docetaxel,Lapatinib,0
BT-20,Sapitinib,SCH772984,0
MDA-MB-361,MK-1775,AZD8055,0
MDA-MB-468,Luminespib,Bortezomib,0
MDA-MB-361,Temozolomide,Pictilisib,0
MDA-MB-175-VII,Vorinostat,Olaparib,0
OCUB-M,Vorinostat,Temozolomide,0
MDA-MB-175-VII,PD173074,Paclitaxel,0
MDA-MB-468,MK-2206,Venetoclax,0
BxPC-3,Paclitaxel,Taselisib,1
LS-513,Dabrafenib,Camptothecin,0
HuP-T4,Olaparib,AZD7762,0
PA-TU-8988T,Galunisertib,Dactolisib,0
OCUB-M,Navitoclax,Alpelisib,0
MZ1-PC,Olaparib,MK-2206,0
DAN-G,Irinotecan,Olaparib,0
EFM-192A,MK-2206,Nilotinib,0
CAPAN-2,Oxaliplatin,Sorafenib,1
HDQ-P1,Linsitinib,Wee1 Inhibitor,0
YAPC,Irinotecan,Navitoclax,1
CAL-120,OSI-027,Taselisib,0
SW1990,Linsitinib,Cisplatin,0
MDA-MB-468,Bortezomib,Luminespib,0
PANC-03-27,SCH772984,Palbociclib,0
HCC70,Navitoclax,Axitinib,0
PA-TU-8902,Paclitaxel,Sorafenib,0
HCT-15,Taselisib,Afatinib,0
EVSA-T,Olaparib,PF-4708671,0
HCC1143,Taselisib,Nilotinib,0
BT-549,Luminespib,Ribociclib,0
SNU-81,Olaparib,LGK974,0
LS-123,Linsitinib,Navitoclax,0
MDA-MB-415,Luminespib,AZD7762,0
HuP-T4,Lapatinib,MK-1775,0
KP-1N,Dactolisib,Linsitinib,1
EFM-19,Taselisib,RO-3306,0
CAL-85-1,Navitoclax,GSK269962A,0
MDST8,Olaparib,Oxaliplatin,0
HCC70,Palbociclib,Alisertib,0
Hs-578-T,Navitoclax,OSI-027,0
UACC-893,Sapitinib,Taselisib,0
HPAC,Ruxolitinib,LGK974,0
HCC1419,Olaparib,Dabrafenib,0
T47D,Lapatinib,Sorafenib,0
PANC-10-05,Lapatinib,Sorafenib,1
RCM-1,AZD7762,LGK974,0
Hs-578-T,Cisplatin,Afatinib,0
HCC70,Vorinostat,BI-2536,0
MDA-MB-361,5-Fluorouracil,Wee1 Inhibitor,0
SW48,Palbociclib,LGK974,0
CAPAN-1,5-Fluorouracil,Lapatinib,0
MRK-nu-1,Pictilisib,Nilotinib,0
MDA-MB-361,5-Fluorouracil,Sorafenib,0
HCC1937,Palbociclib,Linsitinib,0
AsPC-1,LGK974,5-Fluorouracil,0
SNU-1040,Olaparib,SB216763,0
SK-CO-1,SCH772984,Taselisib,0
BT-20,Luminespib,AZD7762,0
OCUB-M,PD173074,AZD8055,0
SW1417,LGK974,Trametinib,0
HCC1428,Luminespib,PF-4708671,0
MCF7,Crizotinib,Doramapimod,0
MDST8,BMS-754807,Linsitinib,0
SNU-81,SB505124,SB216763,0
SW620,5-Fluorouracil,Crizotinib,0
HCC1395,Gemcitabine,MK-2206,0
EVSA-T,Navitoclax,Crizotinib,0
BT-483,Taselisib,Olaparib,0
HCC1806,Trametinib,Linsitinib,0
CFPAC-1,Oxaliplatin,Palbociclib,0
HCC1395,Gemcitabine,Luminespib,0
CAL-148,5-Fluorouracil,Nilotinib,0
CAPAN-1,Cisplatin,Irinotecan,0
PANC-03-27,Lapatinib,LGK974,0
HCC1954,Taselisib,Crizotinib,0
KP-3,Galunisertib,Oxaliplatin,0
Hs-578-T,AZD7762,Taselisib,1
LS-123,AZD7762,SB505124,0
SW1116,AZD8055,Linsitinib,0
HuP-T4,AZD7762,Dactolisib,0
PANC-04-03,Olaparib,5-Fluorouracil,0
SUIT-2,AZD7762,Paclitaxel,0
PL4,Lapatinib,MK-1775,0
HCC2218,Trametinib,Taselisib,1
MFM-223,Sapitinib,KU-55933,0
KP-3,Ruxolitinib,Navitoclax,0
COLO-678,AZD4547,Trametinib,0
OCUB-M,Bortezomib,Cisplatin,0
HCC70,Crizotinib,RO-3306,0
LoVo,5-Fluorouracil,Crizotinib,0
CAPAN-1,Olaparib,Ruxolitinib,0
HCT-116,SB505124,Sapitinib,0
KP-3,AZD7762,OSI-027,0
HCC38,Olaparib,Linsitinib,0
HCC1937,Olaparib,Trametinib,0
MDA-MB-436,OSI-027,Wee1 Inhibitor,0
HT55,AZD8055,AZD4547,0
MDA-MB-453,Palbociclib,Linsitinib,0
SNU-C2B,Palbociclib,Sapitinib,0
MDA-MB-175-VII,Docetaxel,Sorafenib,0
AsPC-1,Irinotecan,LGK974,0
