cell,drug1_db,drug2_db,synergy
KP-2,Galunisertib,Ruxolitinib,0
SW837,SB216763,AZD8055,0
KP-2,MK-2206,Linsitinib,0
NCI-H747,Palbociclib,Oxaliplatin,0
CAL-85-1,Cisplatin,Uprosertib,0
MDA-MB-175-VII,MK-1775,Docetaxel,0
SW1116,Navitoclax,LGK974,0
MDA-MB-330,Temozolomide,Olaparib,0
SNU-175,Taselisib,Vinorelbine,0
SNU-C5,SCH772984,Dabrafenib,0
MCF7,Palbociclib,Wee1 Inhibitor,0
PANC-10-05,LGK974,Ruxolitinib,0
OCUB-M,Linsitinib,Bortezomib,0
CAL-148,Trametinib,SCH772984,0
T47D,Bortezomib,Gemcitabine,0
HCC1419,MK-2206,PD173074,0
HCC1428,MK-2206,Tozasertib,0
MDA-MB-330,Palbociclib,Bortezomib,0
HCC38,Crizotinib,AZD8055,0
EFM-192A,OSI-027,AZD7762,0
BT-20,MK-2206,Wee1 Inhibitor,0
NCI-H716,BMS-754807,MK-1775,0
HT-115,BMS-754807,LGK974,0
HuP-T3,Gemcitabine,Taselisib,0
BxPC-3,Dasatinib,Linsitinib,1
SNU-C2B,AZD4547,Palbociclib,0
SW1990,Trametinib,AZD7762,0
HCC1143,Temozolomide,AZD7762,0
MDST8,LGK974,Trametinib,0
EFM-19,5-Fluorouracil,Axitinib,0
HCC1599,Vorinostat,Axitinib,0
HCC2157,Linsitinib,Gemcitabine,0
CAPAN-1,Irinotecan,Dactolisib,0
KP-3,Palbociclib,Oxaliplatin,0
CAL-85-1,Luminespib,Navitoclax,0
ZR-75-1,Vorinostat,SCH772984,0
SW1463,SB216763,Taselisib,0
DAN-G,Galunisertib,Erlotinib,0
GP5d,Taselisib,5-Fluorouracil,0
HCC1419,Olaparib,Wee1 Inhibitor,0
SUIT-2,MK-1775,MK-2206,1
YAPC,Galunisertib,Dactolisib,0
BT-483,Trametinib,PF-4708671,0
COLO-678,Afatinib,BMS-754807,0
LS-123,Oxaliplatin,LGK974,0
HCC1954,OSI-027,Luminespib,0
HPAC,Gemcitabine,Irinotecan,0
MIA-PaCa-2,Lapatinib,OSI-027,0
SW48,Oxaliplatin,BMS-754807,0
CaR-1,Linsitinib,MK-2206,1
PA-TU-8988T,Olaparib,Taselisib,0
SU8686,Paclitaxel,Irinotecan,0
YAPC,Taselisib,Erlotinib,1
SW948,Crizotinib,Sapitinib,1
MCF7,PD173074,Nilotinib,1
CAL-120,5-Fluorouracil,GSK269962A,0
MDA-MB-330,Crizotinib,RO-3306,0
KP-4,Cisplatin,MK-2206,0
MDA-MB-453,Navitoclax,SB216763,0
ZR-75-1,Linsitinib,Wee1 Inhibitor,0
BT-20,Axitinib,BI-2536,0
HCC1143,Sapitinib,Docetaxel,0
SNU-C2B,Taselisib,BMS-754807,0
HCC70,AZD7762,Temozolomide,0
CAL-148,Temozolomide,Gemcitabine,0
MRK-nu-1,AZD7762,Vorinostat,0
MDST8,5-Fluorouracil,Vinorelbine,0
KP-3,Sorafenib,Linsitinib,0
HCT-116,MK-1775,Palbociclib,0
PANC-10-05,5-Fluorouracil,Linsitinib,0
HCC1937,Trametinib,5-Fluorouracil,0
SW620,Navitoclax,Sapitinib,0
CAPAN-1,LGK974,Trametinib,0
SNU-175,Afatinib,Trametinib,0
BT-549,OSI-027,Palbociclib,0
SNU-C2B,Vinorelbine,Navitoclax,1
CAL-51,PD173074,PF-4708671,0
EFM-19,Temozolomide,Venetoclax,0
T47D,AZD7762,Taselisib,0
HCC1500,Palbociclib,OSI-027,0
LS-180,AZD4547,Navitoclax,0
MDA-MB-361,Bortezomib,Doramapimod,0
MDA-MB-453,5-Fluorouracil,Uprosertib,0
HCC1569,Olaparib,RO-3306,0
HCC38,Axitinib,Luminespib,0
PSN1,5-Fluorouracil,Olaparib,0
COLO-824,Luminespib,AZD6482,0
HuP-T3,Lapatinib,Paclitaxel,0
YAPC,Olaparib,SCH772984,0
MDA-MB-175-VII,Axitinib,Olaparib,0
CAMA-1,AZD7762,NU7441,0
MDA-MB-415,Olaparib,Temozolomide,0
JIMT-1,Lapatinib,Taselisib,0
SW1417,Crizotinib,Vinorelbine,0
HCC1937,Gemcitabine,PF-4708671,0
HCC1500,Sapitinib,MK-1775,0
HCC2157,Sapitinib,JQ1,1
Hs-766T,Cisplatin,Lapatinib,0
MRK-nu-1,Taselisib,Alisertib,0
YAPC,Irinotecan,OSI-027,0
CAL-85-1,Trametinib,OSI-027,0
MFM-223,PD173074,Sapitinib,0
SUIT-2,Cisplatin,Lapatinib,0
AsPC-1,Gemcitabine,Palbociclib,0
SNU-81,Navitoclax,Olaparib,0
PA-TU-8988T,Erlotinib,Navitoclax,0
MDA-MB-361,AZD7762,Gemcitabine,1
ZR-75-30,Lapatinib,Cisplatin,0
HCC1419,5-Fluorouracil,Doramapimod,0
MDA-MB-157,Crizotinib,Linsitinib,0
PANC-10-05,Crizotinib,Taselisib,0
HCC1187,Axitinib,PD173074,0
ZR-75-30,PD173074,Nilotinib,0
MDST8,SCH772984,MK-2206,0
DU-4475,Lapatinib,AZD8055,0
NCI-H747,SB216763,Linsitinib,0
MDA-MB-157,AZD7762,5-Fluorouracil,1
NCI-H747,Navitoclax,Taselisib,0
OCUB-M,AZD7762,Alpelisib,0
HCC1569,Gemcitabine,Nilotinib,0
EVSA-T,PD173074,Gemcitabine,1
MIA-PaCa-2,Linsitinib,5-Fluorouracil,0
HCC202,Pictilisib,Palbociclib,0
MCF7,MK-2206,Entinostat,0
AU565,Sapitinib,Dabrafenib,0
MZ1-PC,Cisplatin,Irinotecan,0
PANC-03-27,Ruxolitinib,Taselisib,0
MDA-MB-436,Linsitinib,RO-3306,0
AU565,5-Fluorouracil,PD173074,0
LoVo,AZD4547,Trametinib,0
UACC-893,Docetaxel,Alisertib,0
NCI-H747,SB216763,Navitoclax,0
HT-29,Palbociclib,BMS-754807,0
ZR-75-30,Olaparib,OSI-027,0
GP5d,Navitoclax,LGK974,0
HCC38,Sapitinib,Linsitinib,0
PANC-04-03,OSI-027,Dasatinib,0
ZR-75-1,Palbociclib,Trametinib,0
SW837,LGK974,AZD4547,0
CAPAN-2,Crizotinib,Olaparib,0
RCM-1,Sapitinib,5-Fluorouracil,0
SNU-1040,Olaparib,SB505124,0
EFM-192A,Bortezomib,Olaparib,0
PANC-02-03,Taselisib,Crizotinib,0
HCC1599,Pictilisib,AZD6482,0
UACC-812,Cisplatin,MK-2206,0
CW-2,Afatinib,SB505124,0
PANC-10-05,Cisplatin,Erlotinib,0
HCC1143,Bortezomib,Taselisib,0
SW1116,AZD7762,5-Fluorouracil,0
HCC1500,MK-2206,Palbociclib,0
NCI-H508,Sapitinib,Crizotinib,0
CAPAN-2,Linsitinib,Erlotinib,1
UACC-812,AZD7762,Linsitinib,0
HCC2998,Sapitinib,AZD4547,0
HCC2218,OSI-027,KU-55933,0
SNU-1040,AZD4547,Crizotinib,0
HDQ-P1,Lapatinib,Vorinostat,0
DU-4475,Lapatinib,Wee1 Inhibitor,0
PANC-08-13,Taselisib,Oxaliplatin,0
HCC1419,Axitinib,Venetoclax,0
SW620,MK-1775,LGK974,0
BT-474,Linsitinib,KU-55933,0
LS-513,Palbociclib,BMS-754807,0
SW48,SB216763,Afatinib,0
AU565,Crizotinib,NU7441,0
RKO,BMS-754807,Camptothecin,0
MFM-223,Palbociclib,SB216763,0
HCC2218,Olaparib,Tozasertib,0
SK-CO-1,BMS-754807,Camptothecin,0
BT-549,Sapitinib,Paclitaxel,0
HCC1395,Navitoclax,Temozolomide,0
KP-2,Palbociclib,OSI-027,0
BT-549,PD173074,NU7441,0
MDA-MB-415,Bortezomib,Docetaxel,0
DAN-G,Erlotinib,Palbociclib,1
OCUB-M,Palbociclib,GSK269962A,0
BT-20,Bortezomib,MK-2206,0
MRK-nu-1,Linsitinib,Nilotinib,0
HCC1806,Lapatinib,Crizotinib,0
MDA-MB-231,Lapatinib,AZD8055,0
SW620,Taselisib,Vinorelbine,0
T47D,AZD7762,NU7441,0
HCC1428,Olaparib,Camptothecin,0
SU8686,Taselisib,SCH772984,0
MDA-MB-415,PD173074,ZM447439,0
PSN1,Dasatinib,Taselisib,1
HuP-T3,Trametinib,OSI-027,0
SNU-C1,Camptothecin,AZD4547,0
KM12,AZD7762,Sapitinib,0
HDQ-P1,Gemcitabine,AZD8055,0
MDA-MB-453,Palbociclib,KU-55933,0
HCC1954,Linsitinib,AZD6482,0
HCC2218,Temozolomide,Navitoclax,0
MDA-MB-468,Taselisib,5-Fluorouracil,0
HCC1500,MK-1775,BI-2536,0
MDA-MB-330,MK-2206,PD173074,0
BT-20,PD173074,MK-2206,0
PANC-03-27,Erlotinib,Dactolisib,0
HCC1806,PD173074,Trametinib,0
T47D,Gemcitabine,Afatinib,0
HCC2218,Temozolomide,ZM447439,0
PA-TU-8988T,Paclitaxel,Trametinib,0
LoVo,MK-2206,BMS-754807,0
DU-4475,MK-2206,Palbociclib,0
CAMA-1,Navitoclax,PD173074,0
OCUB-M,OSI-027,AZD6482,0
C2BBe1,Vinorelbine,MK-1775,0
HCC1187,Luminespib,GSK269962A,0
EFM-192A,Navitoclax,Entinostat,0
SW1116,Sapitinib,LGK974,0
RKO,Linsitinib,Oxaliplatin,0
MDA-MB-175-VII,Vorinostat,Alpelisib,0
MDA-MB-468,Linsitinib,Wee1 Inhibitor,0
MRK-nu-1,Gemcitabine,Nilotinib,0
BT-474,Crizotinib,SB216763,0
CAL-120,Vorinostat,Venetoclax,0
HCT-15,Vinorelbine,Camptothecin,0
EFM-19,Lapatinib,Doramapimod,0
HDQ-P1,Olaparib,Bortezomib,0
DU-4475,PD173074,Uprosertib,0
T84,LGK974,SCH772984,0
HCC1954,Gemcitabine,Sapitinib,0
EFM-19,MK-2206,AZD6482,0
MCF7,Olaparib,5-Fluorouracil,0
SUIT-2,Paclitaxel,Crizotinib,0
KP-3,Crizotinib,OSI-027,0
Hs-578-T,Docetaxel,Taselisib,0
CAL-85-1,Vorinostat,PD173074,0
CAL-148,OSI-027,PD173074,0
UACC-893,Trametinib,Olaparib,0
MCF7,Vorinostat,Doramapimod,0
MDA-MB-175-VII,Palbociclib,RO-3306,0
CAMA-1,5-Fluorouracil,Sapitinib,0
MDA-MB-468,Gemcitabine,Palbociclib,0
HPAC,Trametinib,AZD7762,0
HCC70,Taselisib,Tozasertib,0
UACC-893,Taselisib,Sorafenib,0
HCC1954,Vorinostat,Ribociclib,0
BT-20,MK-1775,Crizotinib,0
HDQ-P1,Pictilisib,Axitinib,0
BxPC-3,Dactolisib,5-Fluorouracil,0
KP-3,Dasatinib,Palbociclib,0
HCC1395,Linsitinib,Axitinib,0
SNU-81,Dabrafenib,SB216763,0
COLO-678,SCH772984,Trametinib,0
UACC-812,Olaparib,Linsitinib,0
HCC2157,Lapatinib,Doramapimod,0
LS-180,Sapitinib,AZD7762,0
MDA-MB-330,Sapitinib,BI-2536,0
OCUB-M,MK-1775,Bortezomib,0
Hs-578-T,Taselisib,5-Fluorouracil,0
SW1463,Trametinib,Camptothecin,0
CFPAC-1,Ruxolitinib,Dactolisib,0
BxPC-3,Trametinib,OSI-027,0
NCI-H747,5-Fluorouracil,Navitoclax,0
CL-11,Linsitinib,5-Fluorouracil,0
HCC70,Crizotinib,JQ1,0
BT-549,Docetaxel,AZD6482,0
SW1990,AZD7762,OSI-027,0
SK-CO-1,SB505124,BMS-754807,0
SUIT-2,Ruxolitinib,Navitoclax,0
KP-3,Irinotecan,Dasatinib,0
HCC1806,PD173074,MK-1775,0
HCT-15,SB216763,Afatinib,0
CAPAN-2,Irinotecan,Oxaliplatin,0
EFM-192A,Axitinib,Camptothecin,0
HCC1937,Gemcitabine,Linsitinib,0
EVSA-T,Axitinib,Olaparib,0
HCC1143,MK-2206,AZD8055,0
MCF7,Cisplatin,BI-2536,0
LS-411N,5-Fluorouracil,Sapitinib,0
PA-TU-8902,Cisplatin,Palbociclib,0
UACC-893,Bortezomib,Linsitinib,0
CFPAC-1,Irinotecan,Oxaliplatin,0
MDA-MB-436,Docetaxel,Alpelisib,0
T47D,Bortezomib,Cisplatin,0
KM12,Vinorelbine,Dabrafenib,0
OCUB-M,Gemcitabine,BI-2536,0
MDA-MB-361,Olaparib,Pictilisib,0
LS-513,Olaparib,Camptothecin,0
BT-474,Cisplatin,Lapatinib,0
MDA-MB-157,Navitoclax,Olaparib,0
CAL-51,Temozolomide,Cisplatin,0
LS-123,LGK974,Dabrafenib,0
T84,SB216763,Dabrafenib,0
PANC-10-05,Galunisertib,SCH772984,0
HT55,Taselisib,Trametinib,0
HCC1187,Navitoclax,Taselisib,1
PA-TU-8988T,Ruxolitinib,Dasatinib,0
SW1116,LGK974,5-Fluorouracil,0
CAL-120,Pictilisib,SB216763,0
HCC1419,Axitinib,Uprosertib,0
KP-1N,Taselisib,Sorafenib,0
HCC1599,Sapitinib,BI-2536,0
MDA-MB-415,Temozolomide,AZD8055,0
CAL-120,Linsitinib,Uprosertib,0
NCI-H716,SCH772984,Sapitinib,0
YAPC,Trametinib,Cisplatin,0
SK-CO-1,Palbociclib,AZD8055,0
HCC70,PD173074,NU7441,0
BT-483,Palbociclib,JQ1,0
JIMT-1,Trametinib,Doramapimod,0
HCC1143,Bortezomib,Nilotinib,0
CAL-148,Gemcitabine,Cisplatin,0
BT-20,Olaparib,GSK269962A,0
HDQ-P1,PD173074,MK-1775,0
HCC1428,Gemcitabine,Pictilisib,0
CAL-120,Olaparib,Pictilisib,0
EFM-19,Lapatinib,MK-1775,0
HCC1428,Luminespib,Docetaxel,0
MDA-MB-436,Vorinostat,OSI-027,0
HCC1806,Docetaxel,OSI-027,0
Hs-578-T,Olaparib,Bortezomib,0
SW620,Trametinib,Linsitinib,0
HCC1569,OSI-027,AZD6482,0
SNU-81,Oxaliplatin,AZD7762,0
EVSA-T,Trametinib,Camptothecin,0
SU8686,AZD7762,5-Fluorouracil,0
T84,SB216763,SCH772984,0
MRK-nu-1,Cisplatin,Dabrafenib,0
BT-549,Olaparib,Afatinib,0
HCT-15,LGK974,Trametinib,0
HCC1954,Crizotinib,Luminespib,0
HCC1806,Temozolomide,AZD8055,0
CAL-51,Navitoclax,Sapitinib,0
HDQ-P1,Lapatinib,Entinostat,0
KM12,Dabrafenib,MK-2206,0
HCC2998,Dabrafenib,Afatinib,0
PSN1,Dasatinib,LGK974,0
MFM-223,Cisplatin,Camptothecin,0
CAL-51,Taselisib,Temozolomide,0
COLO-824,Crizotinib,Docetaxel,0
LS-123,SB216763,Olaparib,0
MDA-MB-231,Lapatinib,Palbociclib,0
BT-549,Cisplatin,AZD7762,0
DAN-G,Dasatinib,Taselisib,1
SNU-C5,AZD4547,Palbociclib,0
AU565,Navitoclax,AZD7762,0
EFM-19,Trametinib,Uprosertib,0
HCC1419,Luminespib,Ribociclib,0
HT-29,Crizotinib,MK-2206,0
CAL-148,PD173074,Gemcitabine,0
MRK-nu-1,MK-2206,Paclitaxel,0
HCC1806,PD173074,MK-2206,0
HCC1419,5-Fluorouracil,Wee1 Inhibitor,0
SW1990,Erlotinib,Navitoclax,0
MDA-MB-157,Palbociclib,AZD8055,0
ZR-75-30,Gemcitabine,Taselisib,0
BT-483,Trametinib,Cisplatin,0
MZ1-PC,Lapatinib,Crizotinib,0
EFM-192A,Temozolomide,Alpelisib,0
CFPAC-1,Oxaliplatin,Irinotecan,0
ZR-75-30,AZD7762,BI-2536,0
CAPAN-1,Linsitinib,Palbociclib,0
LS-180,MK-2206,AZD8055,1
MDA-MB-415,Lapatinib,AZD6482,0
AU565,Luminespib,Olaparib,0
MDA-MB-453,Bortezomib,Linsitinib,0
MCF7,Axitinib,SCH772984,1
BT-474,Sapitinib,Uprosertib,0
HCC2218,Lapatinib,Afatinib,0
HCC1419,PD173074,Nilotinib,0
CAL-120,Axitinib,Dabrafenib,0
HCC1419,Sapitinib,Nilotinib,0
SNU-C5,Palbociclib,Oxaliplatin,0
SNU-175,LGK974,Linsitinib,0
BxPC-3,Oxaliplatin,OSI-027,0
CAL-51,Olaparib,Taselisib,0
EFM-19,5-Fluorouracil,AZD6482,0
PANC-02-03,LGK974,Ruxolitinib,0
T47D,PD173074,Venetoclax,0
CL-11,SCH772984,AZD4547,0
HT-115,Dabrafenib,AZD4547,0
CFPAC-1,Linsitinib,MK-2206,0
JIMT-1,Palbociclib,Lapatinib,0
CFPAC-1,Cisplatin,Palbociclib,0
PANC-10-05,OSI-027,Galunisertib,0
HCC2218,Olaparib,MK-1775,0
MDA-MB-231,MK-1775,Paclitaxel,0
SW1417,Vinorelbine,MK-1775,0
AsPC-1,MK-1775,Lapatinib,0
HCC70,OSI-027,Palbociclib,0
LoVo,Palbociclib,BMS-754807,0
SNU-175,5-Fluorouracil,Vinorelbine,0
MDA-MB-436,Linsitinib,Nilotinib,0
HCC1500,Axitinib,Tozasertib,0
HCC1937,Cisplatin,Dabrafenib,0
CL-11,SB216763,Camptothecin,0
COLO-320-HSR,LGK974,Afatinib,0
COLO-320-HSR,Trametinib,BMS-754807,0
MCF7,Pictilisib,Camptothecin,0
HCC2218,Sapitinib,Alpelisib,0
EFM-19,Temozolomide,Pictilisib,0
KP-1N,Galunisertib,Cisplatin,0
PANC-03-27,AZD7762,MK-1775,0
HCC1937,Axitinib,PF-4708671,0
HCC1569,AZD7762,Vorinostat,0
MRK-nu-1,5-Fluorouracil,Alisertib,0
SW620,Vinorelbine,Afatinib,0
PANC-02-03,Gemcitabine,Galunisertib,0
HCC1954,AZD7762,KU-55933,0
HCT-15,Oxaliplatin,BMS-754807,0
CFPAC-1,Linsitinib,Taselisib,0
LoVo,SCH772984,Palbociclib,0
COLO-678,Linsitinib,Vinorelbine,0
HCC1419,Temozolomide,Cisplatin,0
BT-474,5-Fluorouracil,AZD7762,0
CAL-148,PD173074,Linsitinib,0
HCC1428,Sapitinib,GSK269962A,0
COLO-824,Gemcitabine,Sapitinib,0
HCC1187,AZD7762,Taselisib,0
HCC2218,Linsitinib,Pictilisib,0
LoVo,Palbociclib,Oxaliplatin,0
CAL-148,Sapitinib,Wee1 Inhibitor,0
HCC1599,Linsitinib,Pictilisib,0
DiFi,Vinorelbine,Navitoclax,0
AU565,Navitoclax,MK-1775,0
ZR-75-30,Olaparib,NU7441,0
AU565,AZD7762,PD173074,0
HCT-116,LGK974,SB216763,0
COLO-824,Taselisib,Axitinib,0
CAL-148,Bortezomib,KU-55933,0
SK-CO-1,MK-2206,Dabrafenib,0
ZR-75-1,Gemcitabine,Lapatinib,0
UACC-893,Luminespib,KU-55933,0
YAPC,MK-2206,Irinotecan,0
HCC1599,Bortezomib,Afatinib,0
HDQ-P1,Navitoclax,Axitinib,1
BT-20,MK-1775,Palbociclib,0
HCC1937,Vorinostat,MK-1775,0
HDQ-P1,Lapatinib,Sapitinib,0
EVSA-T,Crizotinib,ZM447439,0
CAL-148,Vorinostat,Gemcitabine,0
CAL-85-1,OSI-027,Gemcitabine,0
MIA-PaCa-2,Navitoclax,Trametinib,0
MDA-MB-415,Luminespib,Vorinostat,0
BT-20,Olaparib,Tozasertib,0
CFPAC-1,Taselisib,5-Fluorouracil,0
HT55,Palbociclib,SB505124,0
HCC1143,MK-1775,Pictilisib,0
SNU-407,Camptothecin,Taselisib,0
T47D,Olaparib,Alisertib,0
EVSA-T,Taselisib,Temozolomide,0
SW948,SB216763,BMS-754807,1
HCC2218,Bortezomib,RO-3306,0
BT-20,Sapitinib,SCH772984,0
MDA-MB-468,Luminespib,Bortezomib,0
MDA-MB-361,Temozolomide,Pictilisib,0
MDA-MB-175-VII,PD173074,Paclitaxel,0
MDA-MB-468,MK-2206,Venetoclax,0
HCC1419,Pictilisib,Camptothecin,0
HuP-T3,MK-2206,Olaparib,0
LS-513,Dabrafenib,Camptothecin,0
HCC1395,MK-2206,Lapatinib,0
PA-TU-8988T,Galunisertib,Dactolisib,0
HuP-T3,MK-1775,Paclitaxel,0
CAPAN-2,Oxaliplatin,Sorafenib,1
HDQ-P1,Linsitinib,Wee1 Inhibitor,0
NCI-H716,Crizotinib,Afatinib,0
BT-474,Palbociclib,SB216763,0
MDA-MB-468,Bortezomib,Luminespib,0
PANC-03-27,SCH772984,Palbociclib,0
EFM-19,Temozolomide,Alpelisib,0
HCC70,Navitoclax,Axitinib,0
HCC1143,Taselisib,Nilotinib,0
BT-549,Luminespib,Ribociclib,0
HCC2157,Temozolomide,SB216763,0
LS-123,Linsitinib,Navitoclax,0
BT-474,OSI-027,Crizotinib,0
MFM-223,Bortezomib,KU-55933,0
PANC-04-03,Crizotinib,Palbociclib,0
CFPAC-1,MK-2206,Lapatinib,1
DU-4475,OSI-027,Axitinib,0
CAL-51,Olaparib,Temozolomide,1
COLO-320-HSR,Vinorelbine,SB505124,0
HuP-T4,Lapatinib,MK-1775,0
EFM-19,Taselisib,RO-3306,0
MDST8,Olaparib,Oxaliplatin,0
HCC70,Palbociclib,Alisertib,0
RKO,BMS-754807,Dabrafenib,0
T47D,Navitoclax,Paclitaxel,1
UACC-893,Sapitinib,Taselisib,0
HCC1806,5-Fluorouracil,Gemcitabine,0
T47D,Lapatinib,Sorafenib,0
Hs-766T,SCH772984,MK-2206,0
BT-483,Crizotinib,Sapitinib,0
PANC-10-05,Lapatinib,Sorafenib,1
PANC-08-13,Crizotinib,MK-2206,0
MDA-MB-361,5-Fluorouracil,Wee1 Inhibitor,0
SW48,Palbociclib,LGK974,0
ZR-75-30,AZD7762,NU7441,0
MRK-nu-1,Pictilisib,Nilotinib,0
HCC1599,MK-1775,ZM447439,0
HT55,MK-2206,Linsitinib,0
Hs-578-T,Crizotinib,Taselisib,0
AsPC-1,LGK974,5-Fluorouracil,0
HCC2218,5-Fluorouracil,Doramapimod,0
HDQ-P1,Lapatinib,RO-3306,0
UACC-893,Vorinostat,Afatinib,1
SW1417,LGK974,Trametinib,0
SK-CO-1,LGK974,Afatinib,0
HCC1395,Gemcitabine,MK-2206,0
EVSA-T,Navitoclax,Crizotinib,0
BxPC-3,Linsitinib,Dasatinib,0
BT-483,Taselisib,Olaparib,0
HCC1806,Trametinib,Linsitinib,0
KP-3,LGK974,Irinotecan,0
BT-549,Bortezomib,MK-2206,0
MIA-PaCa-2,Lapatinib,Navitoclax,1
CAPAN-1,Cisplatin,Irinotecan,0
HCC1954,Taselisib,Crizotinib,0
KP-3,Galunisertib,Oxaliplatin,0
Hs-578-T,AZD7762,Taselisib,1
SW1116,AZD8055,Linsitinib,0
PANC-04-03,Olaparib,5-Fluorouracil,0
SUIT-2,AZD7762,Paclitaxel,0
HCC1954,Crizotinib,Sapitinib,0
SNU-C1,MK-2206,Sapitinib,1
PL4,Lapatinib,MK-1775,0
HCC2218,Trametinib,Taselisib,1
MFM-223,Sapitinib,KU-55933,0
KP-3,Ruxolitinib,Navitoclax,0
HCC38,Vorinostat,Doramapimod,0
COLO-678,AZD4547,Trametinib,0
OCUB-M,Bortezomib,Cisplatin,0
HCC70,Crizotinib,RO-3306,0
CAPAN-1,Olaparib,Ruxolitinib,0
MDA-MB-453,Luminespib,Navitoclax,0
SW48,Crizotinib,Taselisib,0
KP-3,AZD7762,OSI-027,0
HCC38,Olaparib,Linsitinib,0
HT55,AZD8055,AZD4547,0
AsPC-1,Irinotecan,LGK974,0
HCC1806,Vorinostat,PD173074,0
CAPAN-1,Taselisib,Galunisertib,0
PANC-02-03,Taselisib,Sorafenib,0
HCC38,Navitoclax,Luminespib,0
PSN1,MK-1775,5-Fluorouracil,0
AU565,Trametinib,Palbociclib,0
MDST8,Dabrafenib,MK-1775,0
COLO-205,Sapitinib,SCH772984,0
CW-2,Camptothecin,Sapitinib,0
