cell_line_names,anchor_names,library_names,labels
PANC-10-05,LGK974,Ruxolitinib,0
CAL-51,MK-1775,Linsitinib,0
OCUB-M,Linsitinib,Bortezomib,0
HT-115,AZD4547,SCH772984,1
HCC1143,Olaparib,PF-4708671,0
CAL-51,Temozolomide,Doramapimod,0
HCC1419,MK-2206,PD173074,0
HCC1428,MK-2206,Tozasertib,0
HCC38,Crizotinib,AZD8055,0
EFM-192A,OSI-027,AZD7762,0
BT-20,MK-2206,Wee1 Inhibitor,0
NCI-H716,BMS-754807,MK-1775,0
MDA-MB-361,Trametinib,Sapitinib,0
HT-115,BMS-754807,LGK974,0
CAL-120,Trametinib,Dabrafenib,0
HuP-T3,Gemcitabine,Taselisib,0
BxPC-3,Dasatinib,Linsitinib,1
HCC1143,Temozolomide,AZD7762,0
MDST8,LGK974,Trametinib,0
BxPC-3,Galunisertib,Navitoclax,0
HCC2157,Linsitinib,Gemcitabine,0
CAPAN-1,Irinotecan,Dactolisib,0
PANC-02-03,Palbociclib,Crizotinib,0
KP-3,Palbociclib,Oxaliplatin,0
CAL-85-1,Luminespib,Navitoclax,0
ZR-75-1,Vorinostat,SCH772984,0
OCUB-M,AZD7762,Afatinib,0
COLO-824,Trametinib,Paclitaxel,0
SW1463,SB216763,Taselisib,0
DAN-G,Galunisertib,Erlotinib,0
GP5d,Taselisib,5-Fluorouracil,0
HCC1419,Olaparib,Wee1 Inhibitor,0
CAL-120,OSI-027,Bortezomib,0
SUIT-2,MK-1775,MK-2206,1
YAPC,Galunisertib,Dactolisib,0
BT-483,Trametinib,PF-4708671,0
COLO-678,Afatinib,BMS-754807,0
HCC1954,OSI-027,Luminespib,0
MIA-PaCa-2,Lapatinib,OSI-027,0
SW48,Oxaliplatin,BMS-754807,0
MDA-MB-175-VII,Olaparib,MK-2206,0
CaR-1,Linsitinib,MK-2206,1
YAPC,Taselisib,Erlotinib,1
SW948,Crizotinib,Sapitinib,1
CAL-120,5-Fluorouracil,GSK269962A,0
HDQ-P1,Taselisib,OSI-027,0
YAPC,Paclitaxel,Taselisib,0
MDST8,SB216763,AZD4547,0
T84,LGK974,Olaparib,0
SNU-1040,MK-1775,AZD8055,0
HT-115,5-Fluorouracil,Dabrafenib,0
ZR-75-1,Linsitinib,Wee1 Inhibitor,0
BT-20,Axitinib,BI-2536,0
HCC1143,Sapitinib,Docetaxel,0
HCC70,AZD7762,Temozolomide,0
ZR-75-30,Palbociclib,Axitinib,0
HCT-116,5-Fluorouracil,AZD8055,0
MRK-nu-1,AZD7762,Vorinostat,0
MDST8,5-Fluorouracil,Vinorelbine,0
KP-3,Sorafenib,Linsitinib,0
HCT-116,MK-1775,Palbociclib,0
PANC-10-05,5-Fluorouracil,Linsitinib,0
EVSA-T,Bortezomib,Sorafenib,0
SNU-81,Taselisib,LGK974,0
SW620,Navitoclax,Sapitinib,0
CAPAN-1,LGK974,Trametinib,0
CAL-51,PD173074,PF-4708671,0
MDA-MB-361,Bortezomib,Doramapimod,0
HCC1569,Olaparib,RO-3306,0
HCC38,Axitinib,Luminespib,0
COLO-824,Luminespib,AZD6482,0
HuP-T3,Lapatinib,Paclitaxel,0
BT-483,Palbociclib,NU7441,0
YAPC,Olaparib,SCH772984,0
MDA-MB-175-VII,Axitinib,Olaparib,0
BT-474,Gemcitabine,Camptothecin,0
HCC1143,Temozolomide,OSI-027,0
BT-20,Trametinib,Sapitinib,1
MDA-MB-415,Olaparib,Temozolomide,0
JIMT-1,Lapatinib,Taselisib,0
BT-483,Trametinib,Alpelisib,0
MDA-MB-361,Axitinib,Docetaxel,0
HCC1419,Linsitinib,Trametinib,0
HCC2157,Sapitinib,JQ1,1
COLO-824,Vorinostat,Luminespib,0
MRK-nu-1,Taselisib,Alisertib,0
YAPC,Irinotecan,OSI-027,0
CAL-85-1,Trametinib,OSI-027,0
SUIT-2,Crizotinib,Navitoclax,0
SUIT-2,Cisplatin,Lapatinib,0
AsPC-1,Gemcitabine,Palbociclib,0
SNU-81,Navitoclax,Olaparib,0
MDA-MB-361,AZD7762,Gemcitabine,1
ZR-75-30,Lapatinib,Cisplatin,0
PANC-10-05,MK-2206,Navitoclax,0
HCC1419,5-Fluorouracil,Doramapimod,0
PANC-10-05,Crizotinib,Taselisib,0
MDA-MB-415,Crizotinib,Alisertib,0
ZR-75-30,PD173074,Nilotinib,0
MDST8,SCH772984,MK-2206,0
DU-4475,Lapatinib,AZD8055,0
HCC2157,PD173074,Ribociclib,0
MRK-nu-1,MK-1775,AZD8055,0
JIMT-1,AZD7762,RO-3306,0
COLO-320-HSR,Camptothecin,MK-2206,0
HCC2218,AZD7762,Bortezomib,0
MDA-MB-175-VII,Trametinib,AZD8055,1
OCUB-M,AZD7762,Alpelisib,0
HCC1569,Gemcitabine,Nilotinib,0
EVSA-T,PD173074,Gemcitabine,1
MIA-PaCa-2,Linsitinib,5-Fluorouracil,0
AU565,Sapitinib,Dabrafenib,0
MDA-MB-231,OSI-027,MK-2206,0
MZ1-PC,Cisplatin,Irinotecan,0
PANC-03-27,Ruxolitinib,Taselisib,0
HT55,LGK974,Olaparib,0
ZR-75-30,OSI-027,Afatinib,0
AU565,5-Fluorouracil,PD173074,0
LoVo,AZD4547,Trametinib,0
ZR-75-30,Olaparib,OSI-027,0
GP5d,Navitoclax,LGK974,0
MDA-MB-231,Taselisib,Lapatinib,0
HCC38,Sapitinib,Linsitinib,0
ZR-75-1,Palbociclib,Trametinib,0
SW837,LGK974,AZD4547,0
CAPAN-2,Crizotinib,Olaparib,0
RCM-1,Sapitinib,5-Fluorouracil,0
SNU-1040,Olaparib,SB505124,0
EFM-192A,Bortezomib,Olaparib,0
PANC-02-03,Taselisib,Crizotinib,0
UACC-812,Cisplatin,MK-2206,0
CW-2,Afatinib,SB505124,0
PANC-10-05,Cisplatin,Erlotinib,0
BT-474,Luminespib,Doramapimod,0
HCC1143,Bortezomib,Taselisib,0
NCI-H508,Sapitinib,Crizotinib,0
HCC1428,Vorinostat,Bortezomib,0
CAPAN-2,Linsitinib,Erlotinib,1
OCUB-M,Bortezomib,AZD6482,0
ZR-75-1,Sapitinib,Cisplatin,0
UACC-812,AZD7762,Linsitinib,0
HCC2218,OSI-027,KU-55933,0
SNU-1040,AZD4547,Crizotinib,0
HDQ-P1,Lapatinib,Vorinostat,0
DU-4475,Lapatinib,Wee1 Inhibitor,0
HCC1143,Cisplatin,SB216763,0
HCC1419,Axitinib,Venetoclax,0
BT-474,OSI-027,Afatinib,0
SW620,MK-1775,LGK974,0
JIMT-1,Gemcitabine,AZD6482,0
BT-474,Linsitinib,KU-55933,0
SW48,SB216763,Afatinib,0
AU565,Crizotinib,NU7441,0
RKO,BMS-754807,Camptothecin,0
HCC1569,AZD7762,Luminespib,0
HCC70,5-Fluorouracil,AZD8055,0
HuP-T3,Galunisertib,Olaparib,0
HCC2218,Olaparib,Tozasertib,0
HT-115,SCH772984,5-Fluorouracil,0
MDA-MB-415,Bortezomib,Docetaxel,0
DAN-G,Erlotinib,Palbociclib,1
OCUB-M,Palbociclib,GSK269962A,0
AsPC-1,OSI-027,Lapatinib,0
BT-20,Bortezomib,MK-2206,0
MRK-nu-1,Linsitinib,Nilotinib,0
BT-483,Cisplatin,MK-1775,0
NCI-H508,LGK974,AZD8055,0
MDA-MB-231,Lapatinib,AZD8055,0
SW620,Taselisib,Vinorelbine,0
HCC1428,Olaparib,Camptothecin,0
MDA-MB-415,PD173074,ZM447439,0
HuP-T3,Trametinib,OSI-027,0
SNU-407,Crizotinib,Navitoclax,0
HT-115,Navitoclax,Linsitinib,1
COLO-824,Sapitinib,Lapatinib,0
SNU-C1,Camptothecin,AZD4547,0
HDQ-P1,OSI-027,Wee1 Inhibitor,0
HDQ-P1,Gemcitabine,AZD8055,0
AU565,OSI-027,Alisertib,0
HCC1954,Linsitinib,AZD6482,0
HCC2218,Temozolomide,Navitoclax,0
HuP-T4,Linsitinib,AZD7762,0
BT-20,PD173074,MK-2206,0
PANC-03-27,Erlotinib,Dactolisib,0
SNU-81,MK-2206,Vinorelbine,0
KP-3,5-Fluorouracil,Galunisertib,0
HCC2218,Temozolomide,ZM447439,0
LoVo,MK-2206,BMS-754807,0
DU-4475,MK-2206,Palbociclib,0
OCUB-M,OSI-027,AZD6482,0
EFM-192A,Navitoclax,Entinostat,0
RKO,Linsitinib,Oxaliplatin,0
HDQ-P1,MK-2206,GSK269962A,0
MDA-MB-361,Linsitinib,Sorafenib,0
CAL-85-1,Docetaxel,Paclitaxel,0
MDA-MB-175-VII,Vorinostat,Alpelisib,0
MRK-nu-1,Gemcitabine,Nilotinib,0
BT-474,Crizotinib,SB216763,0
CAL-120,Vorinostat,Venetoclax,0
SW948,Crizotinib,AZD7762,0
HDQ-P1,Olaparib,Bortezomib,0
DU-4475,PD173074,Uprosertib,0
T84,LGK974,SCH772984,0
HCC1954,Gemcitabine,Sapitinib,0
CAL-120,Olaparib,Sorafenib,0
SUIT-2,Paclitaxel,Crizotinib,0
KP-3,Crizotinib,OSI-027,0
CAL-85-1,Vorinostat,PD173074,0
MRK-nu-1,Vorinostat,PF-4708671,0
HCC1419,Linsitinib,NU7441,0
HCC2157,Trametinib,BI-2536,0
CAL-120,Trametinib,Sapitinib,0
MDA-MB-175-VII,Palbociclib,RO-3306,0
HCC70,Taselisib,Tozasertib,0
SNU-407,BMS-754807,AZD8055,0
BxPC-3,Olaparib,Cisplatin,0
CAL-51,Lapatinib,Olaparib,0
HCC1954,Vorinostat,Ribociclib,0
BT-20,MK-1775,Crizotinib,0
HDQ-P1,Pictilisib,Axitinib,0
KP-3,MK-2206,Gemcitabine,0
BxPC-3,Dactolisib,5-Fluorouracil,0
DU-4475,Gemcitabine,Venetoclax,1
KP-3,Dasatinib,Palbociclib,0
SNU-81,Dabrafenib,SB216763,0
COLO-678,SCH772984,Trametinib,0
UACC-812,Olaparib,Linsitinib,0
HCC2157,Lapatinib,Doramapimod,0
HCT-116,MK-2206,5-Fluorouracil,0
PANC-10-05,Crizotinib,AZD7762,0
BT-474,Palbociclib,MK-2206,0
HCC1954,Cisplatin,AZD6482,0
OCUB-M,MK-1775,Bortezomib,0
EVSA-T,Vorinostat,5-Fluorouracil,0
HCC1419,PD173074,Crizotinib,0
SW1463,Trametinib,Camptothecin,0
CFPAC-1,Ruxolitinib,Dactolisib,0
BxPC-3,Trametinib,OSI-027,0
CAL-85-1,Cisplatin,Axitinib,0
HCC1428,Luminespib,Doramapimod,0
HCC70,Crizotinib,JQ1,0
COLO-824,Luminespib,Entinostat,0
OCUB-M,5-Fluorouracil,Alpelisib,0
SUIT-2,Ruxolitinib,Navitoclax,0
KP-3,Irinotecan,Dasatinib,0
BT-474,Navitoclax,Docetaxel,0
BT-483,Docetaxel,Palbociclib,0
MZ1-PC,Sorafenib,5-Fluorouracil,0
CAPAN-2,Irinotecan,Oxaliplatin,0
EVSA-T,Cisplatin,Sorafenib,0
EFM-192A,Axitinib,Camptothecin,0
SW1463,MK-1775,Linsitinib,0
BxPC-3,Cisplatin,Taselisib,0
EVSA-T,Axitinib,Olaparib,0
HCC1143,MK-2206,AZD8055,0
ZR-75-1,Sapitinib,PD173074,0
LS-411N,5-Fluorouracil,Sapitinib,0
PA-TU-8902,Cisplatin,Palbociclib,0
CFPAC-1,Irinotecan,Oxaliplatin,0
MDA-MB-415,Taselisib,AZD7762,0
OCUB-M,Gemcitabine,BI-2536,0
MDA-MB-361,Olaparib,Pictilisib,0
BT-474,Cisplatin,Lapatinib,0
CAL-51,Temozolomide,Cisplatin,0
T84,SB216763,Dabrafenib,0
PANC-10-05,Galunisertib,SCH772984,0
HT55,Taselisib,Trametinib,0
ZR-75-1,Linsitinib,Luminespib,0
SW1463,MK-2206,Navitoclax,0
GP5d,Taselisib,Linsitinib,0
PANC-03-27,Taselisib,MK-2206,0
SUIT-2,SCH772984,Irinotecan,0
CAPAN-2,Taselisib,Lapatinib,0
HDQ-P1,Lapatinib,JQ1,0
HCC1954,Olaparib,Trametinib,0
SNU-407,MK-2206,SCH772984,1
CAL-120,Pictilisib,SB216763,0
HCC1419,Axitinib,Uprosertib,0
SUIT-2,Palbociclib,Cisplatin,0
NCI-H716,Palbociclib,AZD4547,0
MDA-MB-415,Temozolomide,AZD8055,0
CAL-120,Linsitinib,Uprosertib,0
MDA-MB-415,Axitinib,Gemcitabine,0
NCI-H716,SCH772984,Sapitinib,0
HDQ-P1,Temozolomide,PF-4708671,0
YAPC,Trametinib,Cisplatin,0
HCC70,PD173074,NU7441,0
BT-483,Palbociclib,JQ1,0
JIMT-1,Trametinib,Doramapimod,0
LS-411N,SCH772984,5-Fluorouracil,0
HCC1143,Bortezomib,Nilotinib,0
MDA-MB-175-VII,5-Fluorouracil,KU-55933,0
EVSA-T,Olaparib,ZM447439,0
EVSA-T,Crizotinib,Sorafenib,0
BT-20,Olaparib,GSK269962A,0
HDQ-P1,PD173074,MK-1775,0
HCC1428,Gemcitabine,Pictilisib,0
CAL-120,Olaparib,Pictilisib,0
HCC1428,Luminespib,Docetaxel,0
SW620,Trametinib,Linsitinib,0
HCC1569,OSI-027,AZD6482,0
SNU-81,Oxaliplatin,AZD7762,0
EVSA-T,Trametinib,Camptothecin,0
HCC2218,Linsitinib,Entinostat,1
DAN-G,LGK974,Erlotinib,0
COLO-678,LGK974,BMS-754807,0
T84,SB216763,SCH772984,0
MRK-nu-1,Cisplatin,Dabrafenib,0
HCC1954,Crizotinib,Luminespib,0
BT-20,Lapatinib,AZD7762,0
CAL-51,Navitoclax,Sapitinib,0
ZR-75-30,Sapitinib,Trametinib,0
HDQ-P1,Lapatinib,Entinostat,0
T84,Palbociclib,Navitoclax,0
CAL-51,Taselisib,Temozolomide,0
COLO-824,Crizotinib,Docetaxel,0
HT-115,Camptothecin,Oxaliplatin,0
MDA-MB-231,Lapatinib,Palbociclib,0
DAN-G,Dasatinib,Taselisib,1
SNU-C5,AZD4547,Palbociclib,0
AU565,Navitoclax,AZD7762,0
COLO-320-HSR,Camptothecin,5-Fluorouracil,0
HCC1954,Axitinib,GSK269962A,0
AU565,Docetaxel,PD173074,0
HCC1419,Luminespib,Ribociclib,0
CAL-51,Gemcitabine,5-Fluorouracil,0
MRK-nu-1,MK-2206,Paclitaxel,0
LoVo,SCH772984,MK-1775,0
CAPAN-2,Erlotinib,Linsitinib,0
T84,Palbociclib,Linsitinib,0
HCC1419,5-Fluorouracil,Wee1 Inhibitor,0
ZR-75-30,Gemcitabine,Taselisib,0
BT-483,Trametinib,Cisplatin,0
MZ1-PC,Lapatinib,Crizotinib,0
EFM-192A,Temozolomide,Alpelisib,0
CFPAC-1,Oxaliplatin,Irinotecan,0
ZR-75-30,AZD7762,BI-2536,0
OCUB-M,5-Fluorouracil,MK-1775,0
HDQ-P1,Temozolomide,Lapatinib,0
CAPAN-1,Linsitinib,Palbociclib,0
MDA-MB-415,Lapatinib,AZD6482,0
AU565,Luminespib,Olaparib,0
CAL-120,5-Fluorouracil,MK-1775,0
SNU-C5,Palbociclib,Taselisib,0
NCI-H716,AZD7762,SCH772984,0
BT-474,Sapitinib,Uprosertib,0
HCC2218,Lapatinib,Afatinib,0
HCC1419,PD173074,Nilotinib,0
CAL-120,Axitinib,Dabrafenib,0
HCC1419,Sapitinib,Nilotinib,0
HCT-116,BMS-754807,5-Fluorouracil,0
SNU-C5,Palbociclib,Oxaliplatin,0
BxPC-3,Oxaliplatin,OSI-027,0
CAL-51,Olaparib,Taselisib,0
PANC-02-03,LGK974,Ruxolitinib,0
MDA-MB-175-VII,AZD7762,SB216763,0
HT-115,Dabrafenib,AZD4547,0
CFPAC-1,Linsitinib,MK-2206,0
EFM-192A,Axitinib,5-Fluorouracil,0
JIMT-1,Palbociclib,Lapatinib,0
MDA-MB-175-VII,Gemcitabine,Bortezomib,0
GP5d,MK-2206,Vinorelbine,0
CFPAC-1,Cisplatin,Palbociclib,0
PANC-10-05,OSI-027,Galunisertib,0
BT-20,MK-1775,Luminespib,0
HCC2218,Olaparib,MK-1775,0
MDA-MB-231,MK-1775,Paclitaxel,0
AsPC-1,MK-1775,Lapatinib,0
HCC1569,AZD7762,Dabrafenib,0
HCC70,OSI-027,Palbociclib,0
LoVo,Palbociclib,BMS-754807,0
NCI-H716,BMS-754807,Vinorelbine,0
HCC1569,Cisplatin,GSK269962A,0
CaR-1,5-Fluorouracil,Crizotinib,0
OCUB-M,Sapitinib,Sorafenib,0
COLO-320-HSR,LGK974,Afatinib,0
COLO-320-HSR,Trametinib,BMS-754807,0
BT-483,Docetaxel,Doramapimod,0
HCC2218,Axitinib,MK-2206,0
HCC2218,Sapitinib,Alpelisib,0
DU-4475,Taselisib,BI-2536,0
NCI-H716,Crizotinib,Navitoclax,0
PANC-03-27,AZD7762,MK-1775,0
HCC1569,AZD7762,Vorinostat,0
MRK-nu-1,5-Fluorouracil,Alisertib,0
LoVo,Taselisib,Linsitinib,0
SW620,Vinorelbine,Afatinib,0
MZ1-PC,Dactolisib,Irinotecan,0
PANC-02-03,Gemcitabine,Galunisertib,0
HCC1954,AZD7762,KU-55933,0
CFPAC-1,Linsitinib,Taselisib,0
KP-3,Dactolisib,Linsitinib,0
LoVo,SCH772984,Palbociclib,0
COLO-678,Linsitinib,Vinorelbine,0
EFM-192A,Taselisib,Alpelisib,0
HCC1419,Temozolomide,Cisplatin,0
BT-474,5-Fluorouracil,AZD7762,0
HCC1428,Sapitinib,GSK269962A,0
SNU-81,MK-1775,Trametinib,0
COLO-824,Gemcitabine,Sapitinib,0
OCUB-M,Bortezomib,Uprosertib,0
EVSA-T,Navitoclax,Vorinostat,0
CCK-81,Linsitinib,AZD7762,0
DU-4475,Cisplatin,Afatinib,0
HCC2218,Linsitinib,Pictilisib,0
EVSA-T,Trametinib,Sapitinib,0
LoVo,Palbociclib,Oxaliplatin,0
COLO-824,Crizotinib,Alisertib,0
HCC2218,Linsitinib,Luminespib,0
HCC2157,Gemcitabine,Venetoclax,0
AU565,Navitoclax,MK-1775,0
ZR-75-30,Olaparib,NU7441,0
AU565,AZD7762,PD173074,0
HCT-116,LGK974,SB216763,0
HuP-T4,Dasatinib,Sorafenib,0
CAL-85-1,Sapitinib,PD173074,0
COLO-824,Taselisib,Axitinib,0
ZR-75-1,Gemcitabine,Lapatinib,0
SUIT-2,Erlotinib,Crizotinib,0
YAPC,MK-2206,Irinotecan,0
PANC-10-05,Erlotinib,Oxaliplatin,0
HDQ-P1,Navitoclax,Axitinib,1
BT-20,MK-1775,Palbociclib,0
HDQ-P1,Lapatinib,Sapitinib,0
EVSA-T,Crizotinib,ZM447439,0
CAL-85-1,OSI-027,Gemcitabine,0
HCC1954,MK-2206,Trametinib,0
ZR-75-1,Crizotinib,Uprosertib,0
MIA-PaCa-2,Navitoclax,Trametinib,0
MDA-MB-415,Luminespib,Vorinostat,0
BT-20,Olaparib,Tozasertib,0
YAPC,Taselisib,MK-1775,0
CFPAC-1,Taselisib,5-Fluorouracil,0
HT55,Palbociclib,SB505124,0
MRK-nu-1,Axitinib,Lapatinib,0
HCC1143,MK-1775,Pictilisib,0
SNU-407,Camptothecin,Taselisib,0
MDA-MB-361,Trametinib,MK-2206,0
EVSA-T,Taselisib,Temozolomide,0
EFM-192A,PD173074,Wee1 Inhibitor,0
SW948,SB216763,BMS-754807,1
CAL-120,Lapatinib,SCH772984,0
SNU-C5,AZD4547,Vinorelbine,0
HCC2218,Bortezomib,RO-3306,0
AsPC-1,Oxaliplatin,Ruxolitinib,0
BT-20,Sapitinib,SCH772984,0
MDA-MB-361,MK-1775,AZD8055,0
MDA-MB-361,Temozolomide,Pictilisib,0
MDA-MB-175-VII,Vorinostat,Olaparib,0
OCUB-M,Vorinostat,Temozolomide,0
MDA-MB-175-VII,PD173074,Paclitaxel,0
HCC1419,Pictilisib,Camptothecin,0
BxPC-3,Paclitaxel,Taselisib,1
HuP-T3,MK-2206,Olaparib,0
HuP-T4,Olaparib,AZD7762,0
OCUB-M,Navitoclax,Alpelisib,0
MZ1-PC,Olaparib,MK-2206,0
DAN-G,Irinotecan,Olaparib,0
HuP-T3,MK-1775,Paclitaxel,0
EFM-192A,Crizotinib,Alisertib,0
MDA-MB-361,Axitinib,Gemcitabine,0
EFM-192A,MK-2206,Nilotinib,0
CAPAN-2,Oxaliplatin,Sorafenib,1
HDQ-P1,Linsitinib,Wee1 Inhibitor,0
NCI-H716,Crizotinib,Afatinib,0
YAPC,Irinotecan,Navitoclax,1
CAL-120,OSI-027,Taselisib,0
BT-474,Palbociclib,SB216763,0
PANC-03-27,SCH772984,Palbociclib,0
HCC70,Navitoclax,Axitinib,0
PA-TU-8902,Paclitaxel,Sorafenib,0
SW948,SCH772984,Camptothecin,0
EVSA-T,Olaparib,PF-4708671,0
HCC1143,Taselisib,Nilotinib,0
SNU-81,Olaparib,LGK974,0
HCC2157,Temozolomide,SB216763,0
HuP-T3,Dasatinib,Sorafenib,0
BT-474,OSI-027,Crizotinib,0
CFPAC-1,MK-2206,Lapatinib,1
DU-4475,OSI-027,Axitinib,0
CAL-51,Olaparib,Temozolomide,1
MDA-MB-415,Luminespib,AZD7762,0
COLO-320-HSR,Vinorelbine,SB505124,0
LS-411N,5-Fluorouracil,SB216763,0
HuP-T4,Lapatinib,MK-1775,0
CAL-85-1,Navitoclax,GSK269962A,0
MDST8,Olaparib,Oxaliplatin,0
HCC70,Palbociclib,Alisertib,0
RKO,BMS-754807,Dabrafenib,0
HCC1419,Olaparib,Dabrafenib,0
CCK-81,Navitoclax,Dabrafenib,0
BT-483,Crizotinib,Sapitinib,0
PANC-10-05,Lapatinib,Sorafenib,1
RCM-1,AZD7762,LGK974,0
HCC70,Vorinostat,BI-2536,0
MDA-MB-361,5-Fluorouracil,Wee1 Inhibitor,0
SW48,Palbociclib,LGK974,0
CAPAN-1,5-Fluorouracil,Lapatinib,0
ZR-75-30,AZD7762,NU7441,0
MRK-nu-1,Pictilisib,Nilotinib,0
MDA-MB-361,5-Fluorouracil,Sorafenib,0
BT-474,Lapatinib,Olaparib,0
HT55,MK-2206,Linsitinib,0
AsPC-1,LGK974,5-Fluorouracil,0
HCC2218,5-Fluorouracil,Doramapimod,0
HDQ-P1,Lapatinib,RO-3306,0
SNU-1040,Olaparib,SB216763,0
BT-20,Luminespib,AZD7762,0
OCUB-M,PD173074,AZD8055,0
HCC1428,Luminespib,PF-4708671,0
MDST8,BMS-754807,Linsitinib,0
SNU-81,SB505124,SB216763,0
SW620,5-Fluorouracil,Crizotinib,0
EVSA-T,AZD7762,Doramapimod,0
EVSA-T,Navitoclax,Crizotinib,0
BxPC-3,Linsitinib,Dasatinib,0
BT-483,Taselisib,Olaparib,0
KP-3,LGK974,Irinotecan,0
MIA-PaCa-2,Lapatinib,Navitoclax,1
T84,MK-2206,Vinorelbine,1
CFPAC-1,Oxaliplatin,Palbociclib,0
