,id,drug_names,AUPRC,F1,BACC,KAPPA,num_pos,data_num
23,23,Camptothecin,0.5299683256992036,0.5536332179930796,0.7521755863002385,0.5324337402196638,153,3176
24,24,Doramapimod,0.3120232055703808,0.31111111111111117,0.6259015867927553,0.28362520310525363,51,1152
25,25,LGK974,0.07267001317442025,0.0,0.4991210079109288,-0.003109187343778519,51,3464
26,26,Docetaxel,0.23798117283433545,0.36585365853658536,0.6568332400149309,0.3588922255588922,47,3695
27,27,Luminespib,0.0767844013758556,0.12121212121212122,0.5397238412434082,0.11486469540792021,48,3651
28,28,Palbociclib,0.14743938878931376,0.12,0.53869543766716,0.11268052930056704,110,7112
29,29,Linsitinib,0.4209902676527979,0.4042780748663102,0.6576089967314831,0.3636706418603277,547,7114
30,30,Crizotinib,0.386838570464933,0.398422090729783,0.6635575637879785,0.3767811730049283,294,7114
31,31,Tozasertib,0.49402640877794085,0.5094339622641509,0.7102726911956461,0.4874490734656328,62,1200
32,32,Gemcitabine,0.46338200279349967,0.5116279069767442,0.7281087459726864,0.4880884763205746,254,5115
33,33,SB505124,0.06829505060913157,0.07272727272727274,0.5213614705556445,0.06305536879213536,41,2022
34,34,Vorinostat,0.3106755588561507,0.36318407960199006,0.6422585488606869,0.3275925065007258,234,3695
35,35,Dabrafenib,0.14954498859999332,0.1487603305785124,0.5481482035033179,0.13530810788107261,86,3198
36,36,Uprosertib,0.4172624926371957,0.38260869565217387,0.644974826333567,0.35270404366162234,71,1176
37,37,GSK269962A,0.4392678228240901,0.48484848484848475,0.6878366120528374,0.46415437957482575,62,1200
38,38,KU-55933,0.3016408587262613,0.2608695652173913,0.5987514355546394,0.24742686390969126,29,1200
39,39,Oxaliplatin,0.09446419838464053,0.06557377049180328,0.5201748399467031,0.059162124042236974,45,3464
40,40,MK-1775,0.3997442065206915,0.43001443001443007,0.6879805072885807,0.4009841661127783,371,7114
41,41,AZD4547,0.29661891028218806,0.35526315789473684,0.6409420289855072,0.33096993760635285,90,2022
42,42,RO-3306,0.5412099355436454,0.47457627118644075,0.6905784650630011,0.46199236376258246,36,1200
43,43,Alisertib,0.49090366373188155,0.4511278195488722,0.6829762594093804,0.4190981432360742,77,1176
44,44,5-Fluorouracil,0.2765156335973807,0.3178294573643411,0.6270400027922596,0.3058287258306496,156,7135
45,45,Wee1 Inhibitor,0.11539724075218914,0.0,0.4991235758106924,-0.0029466916688989375,11,1152
46,46,Alpelisib,0.3385921463703153,0.3816793893129771,0.6562736745364448,0.34571530620655544,73,1176
47,47,Paclitaxel,0.6588921103584345,0.6113537117903929,0.7930477860343437,0.593409767351755,116,2594
48,48,Nilotinib,0.13059845514105367,0.0975609756097561,0.5287646147344697,0.08580552987646017,31,1176
49,49,AZD7762,0.493984445659677,0.5181918412348402,0.7429404570133047,0.48538161279315617,453,7113
50,50,Irinotecan,0.3793809520403797,0.37086092715231783,0.6523073146784487,0.3365651908603974,84,1442
51,51,OSI-027,0.3223229094907298,0.3531914893617021,0.6402426569712815,0.32289652721895346,273,5115
52,52,Cisplatin,0.38144953653159125,0.42405063291139244,0.6901733222803457,0.4058652547079764,169,5137
53,53,ZM447439,0.47331541854120374,0.3776223776223776,0.6506849315068493,0.3380890946345906,81,1176
54,54,Ruxolitinib,0.057328515731128266,0.0,0.49895104895104897,-0.0033398274422489216,12,1442
55,55,MK-2206,0.4915566010890529,0.4750889679715303,0.6870061432677675,0.43153392957007664,660,7112
56,56,Axitinib,0.28893283649949403,0.2913907284768212,0.6040626836004634,0.2783850231442804,102,3673
57,57,Sorafenib,0.2555703275380681,0.24615384615384614,0.5933645589383294,0.22817623561676503,80,2642
58,58,Entinostat,0.3794323578353892,0.40650406504065034,0.6599001477912045,0.3749599557328829,73,1176
59,59,JQ1,0.39068994571029986,0.43881856540084385,0.6794557564224548,0.3761447397811034,125,1176
60,60,Olaparib,0.1986378674741561,0.25157232704402516,0.5888320245862145,0.24434735185893297,110,7091
61,61,BMS-754807,0.44864873209455036,0.4649122807017544,0.6919539762563018,0.4336082436354285,130,2022
62,62,Navitoclax,0.5706681738240965,0.5482993197278911,0.721844628828492,0.4317665793958879,1418,7159
