,id,anchor_names,library_names,AUPRC,F1,BACC,KAPPA,num_pos,data_num
83,83,Ruxolitinib,MK-1775,,0.0,1.0,,0,29
84,84,Olaparib,SB216763,,0.0,1.0,,0,94
85,85,Docetaxel,Olaparib,,0.0,1.0,,0,50
86,86,Bortezomib,Navitoclax,0.6958368298368298,0.6666666666666665,0.7893617021276595,0.6355140186915887,5,52
87,87,Bortezomib,SB216763,,0.0,1.0,,0,50
88,88,Galunisertib,MK-1775,,0.0,1.0,,0,29
89,89,Lapatinib,KU-55933,0.25,0.0,0.5,0.0,1,50
90,90,Navitoclax,SB216763,0.25097071929789094,0.25,0.5633928571428571,0.14372469635627527,14,94
91,91,Crizotinib,Nilotinib,0.041666666666666664,0.0,0.5,0.0,1,49
92,92,MK-1775,RO-3306,,0.0,1.0,,0,50
93,93,Linsitinib,Dasatinib,0.7943394080120085,0.631578947368421,0.7166666666666667,0.4431818181818181,10,28
94,94,Lapatinib,AZD8055,0.36825540622947744,0.28571428571428575,0.6032608695652174,0.2331288343558282,4,50
95,95,Sapitinib,PD173074,0.150352262116968,0.3333333333333333,0.6462585034013605,0.2925170068027211,3,52
96,96,Pictilisib,PF-4708671,0.02423762077294686,0.0,0.4895833333333333,-0.027397260273972712,2,50
97,97,Palbociclib,Alisertib,,0.0,1.0,,0,49
98,98,Gemcitabine,AZD7762,0.7070315651649658,0.6885245901639343,0.7479591836734694,0.4927340317674891,30,79
99,99,Paclitaxel,Crizotinib,,0.0,1.0,,0,29
100,100,PD173074,Palbociclib,,0.0,1.0,,0,51
101,101,Crizotinib,Sorafenib,,0.0,1.0,,0,79
102,102,Oxaliplatin,5-Fluorouracil,,0.0,1.0,,0,72
103,103,Trametinib,RO-3306,,0.0,1.0,,0,50
104,104,Sapitinib,Taselisib,0.18869578134284018,0.28571428571428575,0.6503623188405797,0.2589703588143526,3,95
105,105,PD173074,Gemcitabine,0.019230769230769232,0.0,0.5,0.0,1,51
106,106,AZD7762,Vinorelbine,,0.0,1.0,,0,44
107,107,Oxaliplatin,LGK974,0.011627906976744186,0.0,0.5,0.0,1,73
108,108,Linsitinib,Olaparib,0.040597463548468285,0.0,0.49159663865546216,-0.02006688963210701,3,122
109,109,MK-1775,Paclitaxel,,0.0,1.0,,0,77
110,110,Cisplatin,Wee1 Inhibitor,,0.0,1.0,,0,48
111,111,Sapitinib,Oxaliplatin,,0.0,1.0,,0,44
112,112,Pictilisib,Doramapimod,0.08333333333333333,0.0,0.5,0.0,1,48
113,113,AZD7762,Nilotinib,0.021739130434782608,0.0,0.5,0.0,1,49
114,114,Erlotinib,Oxaliplatin,,0.0,1.0,,0,29
115,115,Taselisib,MK-1775,,0.0,1.0,,0,123
116,116,SB216763,Taselisib,,0.0,1.0,,0,44
117,117,MK-1775,Cisplatin,0.5226482434570157,0.64,0.7726190476190475,0.48516949152542377,21,81
118,118,Erlotinib,5-Fluorouracil,,0.0,1.0,,0,28
119,119,BMS-754807,Vinorelbine,0.28020582745094946,0.2857142857142857,0.5833333333333334,0.2567567567567567,6,44
120,120,Oxaliplatin,Paclitaxel,,0.0,1.0,,0,28
121,121,Lapatinib,AZD7762,0.08333333333333333,0.0,0.5,0.0,1,79
122,122,Gemcitabine,Taselisib,,0.0,0.9875,0.0,0,80
123,123,Irinotecan,5-Fluorouracil,,0.0,1.0,,0,28
124,124,Navitoclax,Palbociclib,0.00684931506849315,0.0,0.4959016393442623,-0.00819672131147553,1,123
125,125,Galunisertib,Taselisib,,0.0,1.0,,0,29
126,126,Temozolomide,OSI-027,0.010638297872340425,0.0,0.5,0.0,1,51
127,127,AZD7762,Ruxolitinib,,0.0,1.0,,0,29
128,128,MK-1775,Wee1 Inhibitor,,0.0,1.0,,0,48
129,129,Gemcitabine,OSI-027,0.5171775898520085,0.0,0.5,0.0,2,80
130,130,Navitoclax,SB505124,0.11449938571919996,0.20000000000000004,0.5487179487179488,0.09743589743589742,5,44
131,131,SB216763,Crizotinib,,0.0,1.0,,0,44
132,132,Luminespib,Palbociclib,0.045454545454545456,0.0,0.49,-0.020000000000000018,1,51
133,133,Navitoclax,PD173074,0.5528261547533994,0.36363636363636365,0.6363636363636364,0.20869565217391306,8,52
134,134,Crizotinib,KU-55933,,0.0,1.0,,0,50
135,135,Camptothecin,Afatinib,0.25,0.0,0.5,0.0,1,43
136,136,Crizotinib,Luminespib,,0.0,1.0,,0,50
137,137,Luminespib,Dabrafenib,,0.0,1.0,,0,49
138,138,Axitinib,RO-3306,,0.0,1.0,,0,50
139,139,Linsitinib,Alpelisib,0.08712121212121213,0.0,0.48936170212765956,-0.027972027972027913,2,49
140,140,Navitoclax,Sapitinib,0.2709063207472366,0.3571428571428571,0.630579297245964,0.24531668153434427,13,94
141,141,AZD7762,SCH772984,0.08333333333333333,0.0,0.5,0.0,1,122
142,142,LGK974,Afatinib,,0.0,1.0,,0,43
143,143,Pictilisib,Crizotinib,0.10944917151813705,0.0,0.48936170212765956,-0.030927835051546504,3,50
144,144,Dactolisib,Ruxolitinib,,0.0,1.0,,0,29
145,145,Olaparib,5-Fluorouracil,,0.0,1.0,,0,124
146,146,Palbociclib,Irinotecan,,0.0,1.0,,0,29
147,147,Navitoclax,Gemcitabine,0.6791759775595446,0.6265060240963854,0.6159147869674186,0.22981366459627328,38,80
148,148,Dasatinib,Lapatinib,0.3957142857142857,0.25,0.5583333333333333,0.13861386138613851,5,29
149,149,Navitoclax,Oxaliplatin,0.17339850951075303,0.0,0.49242424242424243,-0.024561403508772006,7,73
150,150,OSI-027,5-Fluorouracil,,0.0,1.0,,0,80
151,151,AZD7762,NU7441,0.045454545454545456,0.0,0.4791666666666667,-0.027972027972027913,1,49
152,152,Vorinostat,Olaparib,,0.0,1.0,,0,50
153,153,Irinotecan,Paclitaxel,,0.0,1.0,,0,28
154,154,OSI-027,AZD7762,0.038461538461538464,0.0,0.5,0.0,1,79
155,155,Docetaxel,NU7441,,0.0,1.0,,0,49
156,156,Bortezomib,ZM447439,0.03571428571428571,0.0,0.5,0.0,1,49
157,157,AZD7762,Olaparib,0.3177536250622658,0.26666666666666666,0.5866071428571429,0.22427745664739884,10,122
158,158,Sapitinib,OSI-027,0.6889880952380952,0.75,0.8643617021276595,0.7287234042553191,4,51
159,159,LGK974,AZD8055,,0.0,1.0,,0,44
160,160,Galunisertib,Ruxolitinib,,0.0,1.0,,0,29
161,161,Crizotinib,Olaparib,,0.0,1.0,,0,122
162,162,Ruxolitinib,Cisplatin,0.08333333333333333,0.0,0.5,0.0,1,29
163,163,Sapitinib,Bortezomib,,0.0,1.0,,0,51
164,164,Camptothecin,AZD8055,0.011627906976744186,0.0,0.5,0.0,1,44
165,165,Crizotinib,SCH772984,0.39199137766862224,0.39999999999999997,0.6699561403508771,0.3608847497089639,8,122
166,166,Gemcitabine,Ribociclib,,0.0,1.0,,0,48
167,167,Axitinib,Cisplatin,,0.0,1.0,,0,52
168,168,Linsitinib,Oxaliplatin,,0.0,1.0,,0,73
169,169,Trametinib,Pictilisib,0.24067460317460318,0.0,0.46938775510204084,-0.06122448979591821,3,52
170,170,AZD7762,Axitinib,,0.0,1.0,,0,51
171,171,Pictilisib,Camptothecin,,0.0,1.0,,0,49
172,172,Olaparib,Paclitaxel,,0.0,1.0,,0,77
173,173,Pictilisib,Afatinib,0.5630228758169935,0.6,0.7772727272727273,0.5545454545454545,5,49
174,174,Oxaliplatin,Sapitinib,0.014285714285714285,0.0,0.5,0.0,1,44
175,175,Temozolomide,RO-3306,,0.0,1.0,,0,50
176,176,Navitoclax,Entinostat,0.6599747809023453,0.5882352941176471,0.6912878787878788,0.3706422018348624,16,49
177,177,AZD4547,Dabrafenib,,0.0,0.9772727272727273,0.0,0,44
178,178,Luminespib,PF-4708671,,0.0,1.0,,0,50
179,179,Linsitinib,Crizotinib,0.013606071825249907,0.0,0.5,0.0,2,123
180,180,MK-2206,OSI-027,0.33615332928034697,0.4375,0.6484375,0.296875,16,80
181,181,Olaparib,Luminespib,,0.0,1.0,,0,50
182,182,Temozolomide,Vorinostat,,0.0,1.0,,0,52
183,183,Irinotecan,Oxaliplatin,,0.0,1.0,,0,29
184,184,Oxaliplatin,Gemcitabine,,0.0,1.0,,0,29
185,185,Vinorelbine,Camptothecin,,0.0,1.0,,0,43
186,186,Taselisib,5-Fluorouracil,,0.0,1.0,,0,124
187,187,Sorafenib,Taselisib,0.02,0.0,0.4642857142857143,-0.04819277108433728,1,29
188,188,AZD7762,AZD4547,,0.0,1.0,,0,44
189,189,Dactolisib,Trametinib,0.5982142857142857,0.0,0.5,0.0,2,29
190,190,Erlotinib,MK-1775,0.16666666666666666,0.0,0.4642857142857143,-0.04819277108433728,1,29
191,191,Linsitinib,PD173074,0.6333333333333333,0.6666666666666666,0.75,0.6578947368421053,2,52
192,192,Axitinib,Ribociclib,1.0,0.0,0.5,0.0,1,48
193,193,Lapatinib,Alpelisib,0.420186613178604,0.6666666666666666,0.810077519379845,0.6201550387596899,6,49
194,194,AZD7762,Vorinostat,,0.0,1.0,,0,52
195,195,Temozolomide,Entinostat,,0.0,1.0,,0,49
196,196,AZD7762,Erlotinib,,0.0,1.0,,0,29
197,197,Olaparib,Doramapimod,0.18154761904761904,0.0,0.4891304347826087,-0.028571428571428692,2,48
198,198,Axitinib,Sorafenib,0.015151515151515152,0.0,0.5,0.0,1,50
199,199,Gemcitabine,Dactolisib,,0.0,1.0,,0,28
200,200,Palbociclib,Crizotinib,,0.0,1.0,,0,123
201,201,MK-1775,AZD8055,0.07563755807042252,0.0,0.49444444444444446,-0.017316017316017174,4,94
202,202,Crizotinib,Vorinostat,,0.0,1.0,,0,52
203,203,MK-2206,RO-3306,0.5508151008151008,0.5,0.6666666666666666,0.48453608247422675,3,50
204,204,Palbociclib,ZM447439,,0.0,1.0,,0,49
205,205,AZD4547,Camptothecin,,0.0,1.0,,0,43
206,206,Vinorelbine,Dabrafenib,0.24583333333333335,0.0,0.4880952380952381,-0.03125,2,44
207,207,SCH772984,Afatinib,0.08490333267810048,0.0,0.5,0.0,4,43
208,208,SB216763,MK-2206,,0.0,1.0,,0,44
209,209,Sorafenib,Palbociclib,,0.0,1.0,,0,28
210,210,5-Fluorouracil,Bortezomib,1.0,0.0,0.5,0.0,1,51
211,211,Afatinib,Navitoclax,0.6754047831253713,0.5333333333333333,0.7083333333333333,0.43795620437956206,8,44
212,212,Dasatinib,Linsitinib,0.6691520028126711,0.5,0.5735294117647058,0.1470588235294118,12,29
213,213,Sapitinib,Camptothecin,,0.0,1.0,,0,92
214,214,Sorafenib,Dactolisib,,0.0,1.0,,0,28
215,215,Temozolomide,Pictilisib,,0.0,1.0,,0,52
216,216,Olaparib,Erlotinib,,0.0,1.0,,0,29
217,217,Cisplatin,Erlotinib,0.24583333333333335,0.0,0.48148148148148145,-0.04819277108433728,2,29
218,218,5-Fluorouracil,Wee1 Inhibitor,,0.0,1.0,,0,48
219,219,Lapatinib,PF-4708671,0.4835775335775335,0.5,0.6666666666666666,0.48453608247422675,3,50
220,220,Palbociclib,MK-1775,,0.0,1.0,,0,123
221,221,Pictilisib,Tozasertib,0.6333333333333333,0.6666666666666666,0.75,0.6575342465753424,2,50
222,222,Galunisertib,Dasatinib,,0.0,1.0,,0,28
223,223,Paclitaxel,Dactolisib,0.03125,0.0,0.5,0.0,1,28
224,224,Navitoclax,Cisplatin,0.5532063682003688,0.5128205128205129,0.6904761904761905,0.3595505617977528,18,81
225,225,Trametinib,GSK269962A,0.03333333333333333,0.0,0.5,0.0,1,50
226,226,Dasatinib,SCH772984,0.3113546176046176,0.3636363636363636,0.6014492753623188,0.21621621621621623,6,29
227,227,OSI-027,Pictilisib,0.025,0.0,0.5,0.0,1,52
228,228,Dabrafenib,Trametinib,,0.0,1.0,,0,44
229,229,Luminespib,BI-2536,,0.0,1.0,,0,50
230,230,OSI-027,MK-2206,0.4925556055294155,0.6470588235294118,0.7645719489981786,0.5507109004739337,18,79
231,231,Camptothecin,LGK974,,0.0,1.0,,0,44
232,232,MK-1775,SB505124,,0.0,1.0,,0,44
233,233,MK-1775,PD173074,0.37051800748037306,0.5454545454545454,0.7282608695652174,0.4921875,6,52
234,234,PD173074,MK-1775,,0.0,1.0,,0,50
235,235,Luminespib,Lapatinib,,0.0,1.0,,0,50
236,236,Vorinostat,Alpelisib,0.16897245709365386,0.14285714285714288,0.501937984496124,0.003389830508474523,6,49
237,237,Cisplatin,Luminespib,,0.0,1.0,,0,50
238,238,5-Fluorouracil,Galunisertib,,0.0,1.0,,0,29
239,239,MK-2206,KU-55933,0.5165750915750915,0.25,0.571969696969697,0.202127659574468,6,50
240,240,Trametinib,KU-55933,,0.0,1.0,,0,50
241,241,Ruxolitinib,Gemcitabine,,0.0,1.0,,0,29
242,242,Axitinib,Luminespib,,0.0,1.0,,0,50
243,243,SCH772984,Olaparib,,0.0,1.0,,0,72
244,244,Luminespib,Cisplatin,0.45476190476190476,0.3333333333333333,0.6145833333333333,0.29729729729729737,4,52
245,245,Bortezomib,Crizotinib,0.021739130434782608,0.0,0.47959183673469385,-0.027397260273972712,1,50
246,246,Olaparib,Sapitinib,,0.0,1.0,,0,94
247,247,Lapatinib,Venetoclax,0.044570707070707066,0.0,0.4782608695652174,-0.04347826086956519,2,48
248,248,MK-1775,JQ1,0.2672910091978415,0.28571428571428575,0.5886363636363636,0.24148606811145512,5,49
249,249,Vinorelbine,Sapitinib,0.31750890680876487,0.31249999999999994,0.48484848484848486,-0.023255813953488413,11,44
250,250,Oxaliplatin,AZD8055,,0.0,1.0,,0,44
251,251,AZD7762,Linsitinib,0.46094866370290094,0.4615384615384615,0.7013546798029556,0.4316831683168316,7,123
252,252,MK-1775,Crizotinib,,0.0,1.0,,0,123
253,253,Palbociclib,Paclitaxel,,0.0,1.0,,0,77
254,254,MK-1775,Oxaliplatin,,0.0,1.0,,0,73
255,255,Linsitinib,BMS-754807,,0.0,0.9545454545454546,0.0,0,44
256,256,Olaparib,Vorinostat,,0.0,1.0,,0,52
257,257,Luminespib,RO-3306,,0.0,1.0,,0,50
258,258,Sapitinib,Temozolomide,,0.0,1.0,,0,50
259,259,Afatinib,BMS-754807,0.43180582305582305,0.4444444444444445,0.6411764705882352,0.30379746835443033,10,44
260,260,Ruxolitinib,LGK974,,0.0,1.0,,0,29
261,261,Linsitinib,Erlotinib,0.5713731968413188,0.4444444444444445,0.6428571428571428,0.3776824034334765,7,29
262,262,Gemcitabine,NU7441,,0.0,1.0,,0,49
263,263,Pictilisib,Bortezomib,1.0,1.0,1.0,1.0,1,51
264,264,Camptothecin,AZD7762,0.5336483685964523,0.6111111111111112,0.6830357142857143,0.34745762711864403,16,44
265,265,Vorinostat,Pictilisib,0.5479166666666666,0.6666666666666666,0.75,0.6578947368421053,2,52
266,266,5-Fluorouracil,SCH772984,0.6333333333333333,0.6666666666666666,0.75,0.6629834254143646,2,122
267,267,Gemcitabine,Navitoclax,0.6982296473565586,0.68,0.7752192982456141,0.537473233404711,24,81
268,268,LGK974,AZD7762,,0.0,1.0,,0,72
269,269,Axitinib,SCH772984,0.1,0.0,0.5,0.0,1,49
270,270,Palbociclib,SB505124,,0.0,1.0,,0,44
271,271,Irinotecan,OSI-027,0.03333333333333333,0.0,0.5,0.0,1,29
272,272,Bortezomib,MK-1775,0.5281339031339032,0.0,0.5,0.0,2,50
273,273,Dactolisib,Erlotinib,0.5777777777777777,0.0,0.5,0.0,2,29
274,274,Pictilisib,MK-1775,,0.0,1.0,,0,50
275,275,Trametinib,AZD6482,0.6625,0.5,0.7393617021276595,0.4787234042553191,2,49
276,276,PD173074,Entinostat,0.03206815114709852,0.0,0.4787234042553192,-0.042553191489361764,2,49
277,277,OSI-027,Tozasertib,0.13452380952380952,0.0,0.5,0.0,2,50
278,278,SCH772984,AZD8055,0.15541666666666668,0.4,0.7261904761904762,0.3653846153846154,2,44
279,279,Temozolomide,Luminespib,,0.0,1.0,,0,50
280,280,PD173074,RO-3306,1.0,0.0,0.5,0.0,1,50
281,281,Luminespib,Pictilisib,,0.0,1.0,,0,52
282,282,Linsitinib,OSI-027,0.3694341833789154,0.39999999999999997,0.6455862977602108,0.3152639087018544,11,80
283,283,Vorinostat,Afatinib,0.36527919866798675,0.25,0.5486111111111112,0.1063829787234043,9,49
284,284,MK-1775,AZD7762,0.7731909713034848,0.6782608695652174,0.7016908212560387,0.3977768955934895,54,123
285,285,MK-2206,Alisertib,0.0488095238095238,0.0,0.4787234042553192,-0.042553191489361764,2,49
286,286,Oxaliplatin,Lapatinib,,0.0,0.9655172413793104,0.0,0,29
287,287,Crizotinib,Bortezomib,,0.0,1.0,,0,51
288,288,PD173074,NU7441,0.5450367647058824,0.6666666666666666,0.75,0.6573426573426573,2,49
289,289,Palbociclib,Vorinostat,0.020833333333333332,0.0,0.5,0.0,1,52
290,290,Vorinostat,Trametinib,0.7253286754080766,0.5882352941176471,0.7083333333333334,0.5220883534136547,12,51
291,291,Irinotecan,Trametinib,1.0,0.0,0.5,0.0,2,29
292,292,SB505124,Trametinib,0.16748366013071897,0.0,0.5,0.0,2,44
293,293,MK-2206,Vinorelbine,0.41807721164033457,0.36363636363636365,0.6158301158301158,0.28037383177570085,7,44
294,294,Docetaxel,PD173074,,0.0,1.0,,0,52
295,295,Gemcitabine,AZD6482,0.07142857142857142,0.0,0.4895833333333333,-0.02083333333333326,1,49
296,296,Ruxolitinib,Dactolisib,,0.0,1.0,,0,28
297,297,AZD8055,AZD4547,0.125,0.0,0.5,0.0,1,44
298,298,Axitinib,Crizotinib,,0.0,1.0,,0,50
299,299,Docetaxel,Navitoclax,0.08297192058535072,0.2,0.5729166666666667,0.11864406779661019,4,52
300,300,SCH772984,Linsitinib,0.7864452770279349,0.7058823529411765,0.7969696969696969,0.6169989506820567,18,73
301,301,Gemcitabine,Nilotinib,,0.0,1.0,,0,49
302,302,Navitoclax,Dactolisib,0.7916666666666666,0.5,0.7307692307692308,0.46153846153846156,2,28
303,303,Crizotinib,Uprosertib,0.25,0.0,0.4895833333333333,-0.02083333333333326,1,49
304,304,Palbociclib,Taselisib,0.3006029124233778,0.0,0.5,0.0,5,124
305,305,SB505124,AZD8055,0.011904761904761904,0.0,0.4883720930232558,-0.023255813953488413,1,44
306,306,Palbociclib,Sapitinib,,0.0,0.9893617021276596,0.0,0,94
307,307,Crizotinib,Docetaxel,,0.0,1.0,,0,52
308,308,LGK974,Crizotinib,,0.0,1.0,,0,73
309,309,Dabrafenib,Vinorelbine,1.0,0.0,0.5,0.0,1,44
310,310,Temozolomide,Cisplatin,,0.0,1.0,,0,52
311,311,Trametinib,Navitoclax,0.6353142426091225,0.5818181818181818,0.7811120917917034,0.4698506361792366,22,125
312,312,Navitoclax,BI-2536,0.5022487369061471,0.5106382978723405,0.55,0.0944881889763779,20,50
313,313,Sapitinib,Alpelisib,0.38641774891774894,0.6666666666666665,0.8527777777777779,0.6334164588528679,4,49
314,314,Lapatinib,Ruxolitinib,,0.0,1.0,,0,29
315,315,PD173074,Trametinib,0.1806998556998557,0.0,0.5,0.0,3,51
316,316,Olaparib,Docetaxel,,0.0,1.0,,0,52
317,317,Irinotecan,LGK974,,0.0,1.0,,0,29
318,318,Luminespib,Sapitinib,0.15715488215488216,0.0,0.48936170212765956,-0.030927835051546504,3,50
319,319,Erlotinib,Crizotinib,0.5378275233538391,0.28571428571428575,0.5791666666666667,0.2076502732240436,5,29
320,320,Cisplatin,NU7441,,0.0,1.0,,0,49
321,321,Vorinostat,BI-2536,0.09863157545416619,0.0,0.4891304347826087,-0.03305785123966953,4,50
322,322,OSI-027,Camptothecin,0.16666666666666666,0.0,0.5,0.0,1,49
323,323,MK-2206,PF-4708671,0.15313390313390313,0.0,0.4895833333333333,-0.027397260273972712,2,50
324,324,Olaparib,AZD4547,0.029411764705882353,0.0,0.5,0.0,1,44
325,325,Temozolomide,Olaparib,0.5704545454545454,0.0,0.5,0.0,2,50
326,326,SCH772984,Crizotinib,0.12447872553171467,0.0,0.4927536231884058,-0.022408963585434316,4,73
327,327,Afatinib,Crizotinib,0.125,0.0,0.4883720930232558,-0.023255813953488413,1,44
328,328,PD173074,Afatinib,0.44917582417582413,0.3333333333333333,0.6138888888888889,0.29496402877697836,4,49
329,329,MK-2206,Navitoclax,0.29127846654562145,0.24,0.5681818181818182,0.15929203539823011,15,125
330,330,Cisplatin,LGK974,,0.0,1.0,,0,29
331,331,Sorafenib,MK-1775,,0.0,1.0,,0,29
332,332,SB216763,5-Fluorouracil,,0.0,1.0,,0,44
333,333,SCH772984,Lapatinib,0.5277976426260741,0.5555555555555556,0.6777777777777778,0.3555555555555555,9,29
334,334,Paclitaxel,MK-1775,,0.0,1.0,,0,29
335,335,Lapatinib,Dasatinib,0.5335775335775336,0.5,0.7733333333333333,0.4226804123711341,3,28
336,336,Irinotecan,Cisplatin,0.05555555555555555,0.0,0.5,0.0,1,29
337,337,Olaparib,MK-1775,,0.0,1.0,,0,123
