cell,drug1_db,drug2_db,synergy
MDA-MB-157,Olaparib,Doramapimod,0
KM12,5-Fluorouracil,SB216763,0
HCC38,Trametinib,ZM447439,0
BT-483,Crizotinib,PD173074,0
HCC1806,Trametinib,Palbociclib,0
MDA-MB-175-VII,Olaparib,Palbociclib,0
PANC-08-13,Crizotinib,Taselisib,0
LS-180,Linsitinib,SB505124,0
CAL-51,Gemcitabine,Docetaxel,0
GP5d,Olaparib,MK-1775,0
MDA-MB-231,PD173074,AZD7762,0
CaR-1,AZD8055,Sapitinib,0
MCF7,Temozolomide,Afatinib,0
HCC1428,Sapitinib,ZM447439,0
BT-474,Trametinib,Doramapimod,0
SW948,Crizotinib,MK-1775,0
T84,LGK974,Afatinib,0
HCC1599,Bortezomib,Cisplatin,0
BT-483,Pictilisib,Tozasertib,0
MDA-MB-468,Palbociclib,Lapatinib,0
LS-513,SB505124,Sapitinib,0
Hs-766T,Erlotinib,Olaparib,0
BT-20,MK-2206,SCH772984,0
COLO-320-HSR,5-Fluorouracil,Navitoclax,0
SUIT-2,LGK974,Taselisib,0
MDA-MB-361,OSI-027,Vorinostat,0
CL-11,Linsitinib,AZD8055,0
HT-29,Oxaliplatin,AZD7762,0
JIMT-1,Pictilisib,Trametinib,0
HCC1599,Trametinib,Uprosertib,0
CAL-51,PD173074,Nilotinib,0
CAL-120,Bortezomib,5-Fluorouracil,0
CW-2,LGK974,Taselisib,0
NCI-H747,Crizotinib,BMS-754807,0
PA-TU-8988T,Trametinib,Gemcitabine,0
MZ1-PC,Irinotecan,Dactolisib,0
HT55,MK-1775,5-Fluorouracil,0
HCC1599,MK-1775,RO-3306,0
HCC1599,OSI-027,JQ1,0
HCC1419,Luminespib,Docetaxel,0
PANC-04-03,5-Fluorouracil,Palbociclib,0
HCC1500,Pictilisib,Luminespib,0
HCC1954,Bortezomib,Docetaxel,0
SW48,SCH772984,AZD8055,0
RCM-1,MK-1775,Dabrafenib,0
BT-474,Luminespib,Afatinib,0
COLO-824,OSI-027,RO-3306,0
BT-483,Navitoclax,Sorafenib,1
KP-4,Ruxolitinib,OSI-027,0
C2BBe1,SB216763,AZD4547,0
T47D,MK-2206,PD173074,0
HCC1500,Luminespib,Trametinib,0
PANC-10-05,Cisplatin,Palbociclib,0
NCI-H508,Navitoclax,Vinorelbine,0
PSN1,AZD7762,Dasatinib,0
BT-474,AZD7762,Vorinostat,0
HCC1428,Vorinostat,PD173074,0
MRK-nu-1,Taselisib,Axitinib,0
CAL-51,OSI-027,NU7441,0
HDQ-P1,Taselisib,Olaparib,0
LS-123,Oxaliplatin,Trametinib,0
BT-474,OSI-027,Pictilisib,0
MDA-MB-157,Vorinostat,PF-4708671,0
HCC38,PD173074,JQ1,0
PA-TU-8902,Linsitinib,Trametinib,0
HCC1569,Docetaxel,Ribociclib,0
MDA-MB-175-VII,Gemcitabine,Uprosertib,0
MDA-MB-157,Crizotinib,Ribociclib,0
CAMA-1,5-Fluorouracil,Vorinostat,0
MRK-nu-1,Luminespib,Uprosertib,0
MFM-223,Palbociclib,PF-4708671,0
CAL-85-1,Linsitinib,Alpelisib,0
CAPAN-1,Dasatinib,Galunisertib,0
HCT-116,SCH772984,BMS-754807,0
MCF7,PD173074,PF-4708671,0
MDA-MB-415,5-Fluorouracil,MK-1775,0
MDA-MB-436,Sapitinib,Ribociclib,0
HCC1954,OSI-027,JQ1,0
BT-483,Lapatinib,RO-3306,0
SNU-175,SCH772984,Dabrafenib,0
MDA-MB-468,AZD7762,MK-2206,0
EFM-192A,Pictilisib,GSK269962A,0
CAPAN-1,MK-2206,AZD7762,0
MDA-MB-157,Sapitinib,AZD6482,0
BT-483,Crizotinib,Doramapimod,0
CAMA-1,Palbociclib,Tozasertib,0
MDA-MB-157,Crizotinib,AZD8055,0
MDA-MB-231,Trametinib,Sapitinib,0
OCUB-M,Axitinib,Paclitaxel,0
MRK-nu-1,Luminespib,GSK269962A,0
Hs-766T,Paclitaxel,Dactolisib,0
HCC1395,Vorinostat,JQ1,0
MDA-MB-175-VII,OSI-027,Paclitaxel,0
MDA-MB-468,Linsitinib,Doramapimod,0
CAL-148,Docetaxel,Axitinib,1
HCC1569,Gemcitabine,Vorinostat,0
HCC38,OSI-027,Sorafenib,0
RKO,SB505124,LGK974,0
UACC-812,Gemcitabine,Pictilisib,0
KP-3,5-Fluorouracil,Palbociclib,0
SW1990,LGK974,5-Fluorouracil,0
COLO-824,MK-2206,Sorafenib,0
HCC38,Axitinib,Navitoclax,0
SNU-C5,Olaparib,AZD4547,0
MDA-MB-157,Lapatinib,PF-4708671,0
CAL-85-1,Pictilisib,SCH772984,1
COLO-824,Taselisib,Luminespib,0
SNU-81,MK-2206,Taselisib,0
DiFi,MK-2206,BMS-754807,0
MFM-223,Trametinib,Camptothecin,0
BT-549,Cisplatin,MK-1775,0
MDA-MB-175-VII,Crizotinib,Linsitinib,0
MDA-MB-231,Gemcitabine,ZM447439,0
MRK-nu-1,5-Fluorouracil,Nilotinib,0
OCUB-M,Gemcitabine,GSK269962A,0
HCC1599,Temozolomide,Cisplatin,0
EFM-192A,Trametinib,MK-1775,0
SNU-407,Olaparib,Vinorelbine,0
KP-2,OSI-027,Erlotinib,0
MDST8,SB216763,Palbociclib,0
BT-20,Trametinib,MK-2206,0
SNU-C1,MK-1775,AZD7762,1
MDA-MB-468,Palbociclib,Crizotinib,0
PANC-04-03,Cisplatin,Crizotinib,0
Hs-578-T,MK-1775,Entinostat,0
HCC202,Docetaxel,5-Fluorouracil,0
LS-123,Navitoclax,Dabrafenib,0
CaR-1,SB505124,AZD8055,0
DU-4475,Palbociclib,MK-1775,0
EVSA-T,Navitoclax,Alisertib,1
HCC1569,AZD7762,Tozasertib,0
MDST8,5-Fluorouracil,SCH772984,0
MRK-nu-1,Axitinib,Olaparib,0
MDA-MB-436,Taselisib,Temozolomide,0
PANC-02-03,5-Fluorouracil,Navitoclax,1
CAMA-1,Docetaxel,5-Fluorouracil,0
SW1990,MK-1775,Crizotinib,0
MDST8,SCH772984,5-Fluorouracil,0
ZR-75-30,Linsitinib,SB216763,0
HCC1143,Trametinib,SB216763,0
HCC1937,Temozolomide,Bortezomib,0
MIA-PaCa-2,AZD7762,Palbociclib,0
SW1116,BMS-754807,Trametinib,0
CAL-51,MK-1775,Vorinostat,0
HCC2998,MK-1775,Sapitinib,0
MFM-223,Vorinostat,KU-55933,0
MDST8,Palbociclib,BMS-754807,0
HPAC,5-Fluorouracil,Dactolisib,0
CAL-148,Olaparib,Palbociclib,0
PANC-03-27,Dactolisib,Sorafenib,0
PANC-08-13,Olaparib,Palbociclib,0
MDA-MB-157,Olaparib,ZM447439,0
SU8686,Oxaliplatin,Lapatinib,0
Hs-578-T,5-Fluorouracil,JQ1,0
MFM-223,PD173074,Bortezomib,0
SW1463,Navitoclax,LGK974,0
UACC-893,Vorinostat,Afatinib,1
HCC1428,Sapitinib,PD173074,0
HCC1954,Trametinib,PD173074,0
PA-TU-8902,Galunisertib,Oxaliplatin,0
BT-20,Luminespib,Gemcitabine,0
OCUB-M,Vorinostat,GSK269962A,0
PA-TU-8902,Trametinib,Dactolisib,0
HCC2157,Vorinostat,Uprosertib,0
HCC38,Taselisib,Olaparib,0
MIA-PaCa-2,5-Fluorouracil,Galunisertib,0
MDA-MB-361,AZD7762,Trametinib,0
HCT-15,AZD7762,Crizotinib,0
CW-2,AZD7762,MK-2206,0
UACC-893,Temozolomide,Camptothecin,0
BT-474,Lapatinib,Navitoclax,1
MIA-PaCa-2,LGK974,Dactolisib,0
SW837,Dabrafenib,Camptothecin,0
HCC1500,Olaparib,GSK269962A,0
Hs-766T,LGK974,Sorafenib,0
SW1116,Palbociclib,BMS-754807,0
NCI-H747,Palbociclib,AZD7762,0
BT-483,Olaparib,AZD7762,0
COLO-205,Vinorelbine,Camptothecin,0
KP-3,Dasatinib,Olaparib,0
T47D,Crizotinib,MK-2206,0
MDA-MB-468,Docetaxel,Alpelisib,0
EFM-192A,MK-2206,Dabrafenib,0
COLO-678,Linsitinib,AZD4547,0
HCC38,Gemcitabine,5-Fluorouracil,0
HCC1569,Olaparib,AZD7762,0
RKO,AZD7762,Taselisib,0
HCC1428,Vorinostat,Gemcitabine,0
HCC1599,AZD7762,Crizotinib,0
HCC1937,Luminespib,OSI-027,0
SW48,Dabrafenib,MK-1775,0
KP-4,OSI-027,Linsitinib,0
CAL-51,Trametinib,MK-2206,0
HCC1187,PD173074,Wee1 Inhibitor,0
HCC1937,MK-2206,OSI-027,0
AU565,OSI-027,Afatinib,0
MRK-nu-1,Temozolomide,Alisertib,0
BT-20,Pictilisib,Alpelisib,0
NCI-H747,Afatinib,5-Fluorouracil,0
HuP-T3,Erlotinib,Palbociclib,0
PA-TU-8902,Palbociclib,AZD7762,0
T84,AZD4547,MK-1775,0
COLO-320-HSR,Palbociclib,Dabrafenib,0
HCC1395,PD173074,Temozolomide,0
MDA-MB-468,PD173074,Taselisib,0
JIMT-1,Cisplatin,Gemcitabine,1
MCF7,Bortezomib,Venetoclax,0
SNU-C2B,SCH772984,Taselisib,0
PANC-02-03,Olaparib,Crizotinib,0
PANC-08-13,Dasatinib,Crizotinib,0
KP-2,Dactolisib,Crizotinib,0
SW1417,Palbociclib,Camptothecin,0
HCC202,Bortezomib,Axitinib,0
BT-474,5-Fluorouracil,Sorafenib,0
JIMT-1,Vorinostat,Tozasertib,0
ZR-75-1,MK-2206,Palbociclib,0
CaR-1,SB505124,Camptothecin,0
CAL-120,Lapatinib,Navitoclax,0
SW837,SCH772984,Taselisib,0
HCC1419,Crizotinib,Pictilisib,0
SNU-C5,5-Fluorouracil,MK-1775,0
NCI-H747,Sapitinib,AZD7762,0
MRK-nu-1,Gemcitabine,Sorafenib,0
SW1463,Taselisib,MK-2206,0
OCUB-M,Taselisib,RO-3306,0
HCC70,AZD7762,ZM447439,0
BT-474,Bortezomib,Alpelisib,0
PANC-04-03,MK-2206,Galunisertib,0
JIMT-1,Olaparib,Crizotinib,0
HuP-T3,Gemcitabine,Linsitinib,0
HCC1395,Sapitinib,Temozolomide,0
HT-115,Camptothecin,Crizotinib,0
JIMT-1,Palbociclib,RO-3306,0
SW948,Crizotinib,BMS-754807,0
Hs-578-T,Lapatinib,ZM447439,0
PA-TU-8902,LGK974,Navitoclax,0
SNU-C1,Taselisib,Trametinib,0
CAL-51,Taselisib,Doramapimod,0
HCC1187,5-Fluorouracil,Alisertib,0
T47D,Cisplatin,NU7441,0
SNU-175,LGK974,Crizotinib,0
HCC2157,Crizotinib,Palbociclib,0
UACC-893,OSI-027,Taselisib,0
OCUB-M,Sapitinib,Trametinib,0
MZ1-PC,AZD7762,Dactolisib,0
MCF7,AZD7762,SB216763,0
JIMT-1,Bortezomib,Linsitinib,0
MFM-223,Linsitinib,Pictilisib,0
AU565,5-Fluorouracil,Pictilisib,0
HCC1395,AZD7762,Taselisib,0
RCM-1,AZD8055,Palbociclib,0
SW837,Dabrafenib,Crizotinib,0
MDA-MB-415,Temozolomide,PD173074,0
BT-474,Cisplatin,Entinostat,0
MDA-MB-361,Docetaxel,Camptothecin,0
PANC-04-03,Palbociclib,Lapatinib,0
BT-474,MK-1775,5-Fluorouracil,0
HT55,5-Fluorouracil,Linsitinib,0
MDA-MB-468,Cisplatin,Sorafenib,0
CAPAN-1,5-Fluorouracil,Taselisib,0
GP5d,Navitoclax,Camptothecin,0
HCC1806,Crizotinib,SCH772984,0
SW48,5-Fluorouracil,Camptothecin,0
SW1463,LGK974,Olaparib,0
MDST8,Afatinib,Vinorelbine,0
MDA-MB-468,Temozolomide,SCH772984,0
NCI-H747,Sapitinib,MK-1775,0
HCC1806,Taselisib,Temozolomide,0
BT-474,Palbociclib,AZD6482,0
EFM-192A,Temozolomide,PD173074,0
MDA-MB-415,Temozolomide,AZD8055,0
CAL-85-1,Palbociclib,NU7441,0
MDA-MB-468,Linsitinib,MK-2206,0
MZ1-PC,Dactolisib,MK-2206,0
MRK-nu-1,Bortezomib,Cisplatin,0
NCI-H508,Vinorelbine,Camptothecin,0
MCF7,OSI-027,GSK269962A,0
COLO-205,5-Fluorouracil,BMS-754807,0
MDA-MB-436,Navitoclax,Lapatinib,0
SNU-C1,AZD4547,AZD8055,0
JIMT-1,Crizotinib,Bortezomib,0
YAPC,Lapatinib,Oxaliplatin,0
SW948,LGK974,Dabrafenib,0
BT-474,Navitoclax,ZM447439,0
ZR-75-1,Temozolomide,AZD6482,0
MZ1-PC,Dasatinib,OSI-027,0
EVSA-T,Bortezomib,Camptothecin,0
MDA-MB-231,Olaparib,Docetaxel,0
HCC1187,Linsitinib,Nilotinib,0
SW1990,Crizotinib,5-Fluorouracil,0
EVSA-T,5-Fluorouracil,Tozasertib,0
MFM-223,Gemcitabine,NU7441,0
NCI-H508,Olaparib,Taselisib,0
HCC1419,Luminespib,MK-2206,0
KM12,Dabrafenib,MK-1775,0
UACC-812,Lapatinib,Luminespib,0
HCC1419,Luminespib,Crizotinib,0
MDA-MB-330,PD173074,Sapitinib,0
SNU-C1,SB505124,Olaparib,0
CW-2,Palbociclib,Vinorelbine,0
HT55,5-Fluorouracil,LGK974,0
SW48,AZD4547,5-Fluorouracil,0
KP-2,Olaparib,MK-2206,0
SW1990,Erlotinib,MK-2206,0
NCI-H747,Crizotinib,Linsitinib,0
MDA-MB-175-VII,OSI-027,Linsitinib,0
MDA-MB-453,Navitoclax,Afatinib,0
COLO-678,LGK974,Palbociclib,0
COLO-824,Taselisib,Afatinib,0
SNU-C2B,Sapitinib,Navitoclax,0
CAPAN-1,Trametinib,Oxaliplatin,1
Hs-766T,Galunisertib,Dactolisib,0
UACC-893,Cisplatin,RO-3306,0
UACC-893,OSI-027,SCH772984,1
T47D,Olaparib,PF-4708671,0
ZR-75-1,5-Fluorouracil,Nilotinib,0
HCC2218,AZD7762,Gemcitabine,0
CAPAN-1,Palbociclib,Taselisib,0
LoVo,BMS-754807,MK-2206,0
HCT-116,Palbociclib,LGK974,0
SW1417,MK-2206,MK-1775,0
SU8686,Oxaliplatin,Sorafenib,0
EFM-19,MK-1775,KU-55933,0
UACC-893,Lapatinib,AZD8055,0
JIMT-1,5-Fluorouracil,Vorinostat,0
HCC1806,Cisplatin,Paclitaxel,0
MDA-MB-436,OSI-027,SB216763,0
MCF7,MK-2206,Wee1 Inhibitor,0
AsPC-1,SCH772984,Cisplatin,0
DiFi,LGK974,Crizotinib,0
JIMT-1,OSI-027,PD173074,0
HCC1419,Navitoclax,Palbociclib,0
SW1990,MK-1775,Palbociclib,0
LS-411N,AZD4547,MK-2206,1
HCC1954,MK-2206,Venetoclax,0
BT-20,Temozolomide,Uprosertib,0
CL-11,Crizotinib,AZD7762,0
KP-2,Erlotinib,Taselisib,0
COLO-824,Lapatinib,ZM447439,0
SW1990,Irinotecan,MK-1775,0
HCC1937,Taselisib,Cisplatin,0
CL-11,Trametinib,LGK974,0
COLO-205,MK-1775,Taselisib,1
EFM-192A,Crizotinib,Olaparib,0
C2BBe1,BMS-754807,AZD4547,0
HCC2218,Temozolomide,AZD7762,0
PA-TU-8988T,Navitoclax,Ruxolitinib,0
HCC70,OSI-027,BI-2536,0
NCI-H716,Linsitinib,SB216763,0
CaR-1,AZD4547,Navitoclax,0
MDA-MB-415,Luminespib,Camptothecin,0
BT-483,Sapitinib,Vorinostat,0
MZ1-PC,MK-2206,Irinotecan,0
LS-180,Crizotinib,SB505124,0
PANC-08-13,Cisplatin,5-Fluorouracil,0
UACC-893,MK-1775,Linsitinib,0
CFPAC-1,Galunisertib,Crizotinib,0
BT-549,Pictilisib,Afatinib,0
CAL-51,Bortezomib,Temozolomide,0
YAPC,OSI-027,LGK974,0
MDA-MB-175-VII,Pictilisib,Entinostat,1
HCC2218,Axitinib,JQ1,0
HCC1806,PD173074,Tozasertib,0
MDA-MB-330,Olaparib,Sapitinib,0
KP-4,OSI-027,Sorafenib,0
SNU-175,AZD4547,BMS-754807,0
HT55,AZD7762,AZD4547,0
HCC1599,Lapatinib,Trametinib,0
MDA-MB-361,Navitoclax,SCH772984,1
HCC2157,MK-2206,Nilotinib,0
MCF7,Luminespib,Cisplatin,0
CAL-148,MK-2206,Sorafenib,0
SW620,Vinorelbine,AZD7762,0
HCC1500,MK-2206,Cisplatin,0
CAMA-1,MK-1775,KU-55933,0
EFM-19,MK-2206,Taselisib,0
GP5d,5-Fluorouracil,SB216763,0
EVSA-T,Trametinib,GSK269962A,0
HCC1395,MK-2206,GSK269962A,0
MDA-MB-361,Temozolomide,Dabrafenib,0
SW1990,SCH772984,Gemcitabine,0
MRK-nu-1,Trametinib,Lapatinib,0
DiFi,SCH772984,AZD8055,0
MIA-PaCa-2,Olaparib,Oxaliplatin,0
NCI-H716,Vinorelbine,AZD7762,0
PANC-08-13,OSI-027,MK-2206,0
OCUB-M,Cisplatin,Olaparib,0
LS-513,Crizotinib,Navitoclax,1
MFM-223,Temozolomide,Nilotinib,0
SNU-81,Olaparib,Trametinib,0
PL4,LGK974,Navitoclax,0
COLO-205,Sapitinib,Olaparib,0
PSN1,Ruxolitinib,Navitoclax,0
KP-1N,Cisplatin,Dasatinib,0
SNU-C1,Dabrafenib,Navitoclax,0
CCK-81,Palbociclib,Taselisib,0
MRK-nu-1,Linsitinib,PD173074,0
COLO-824,MK-1775,PF-4708671,0
SW1116,Linsitinib,MK-2206,0
HT55,AZD8055,SB216763,0
MCF7,Taselisib,Vorinostat,0
ZR-75-30,MK-1775,MK-2206,0
SW1463,Taselisib,LGK974,0
HCC1937,Palbociclib,Lapatinib,0
CAL-51,Luminespib,Pictilisib,0
COLO-320-HSR,5-Fluorouracil,LGK974,0
NCI-H716,Palbociclib,Trametinib,0
CAL-120,Lapatinib,Wee1 Inhibitor,0
CaR-1,SB216763,MK-2206,0
DU-4475,Linsitinib,Temozolomide,1
SK-CO-1,Taselisib,SB216763,0
HCC2998,Olaparib,Afatinib,0
MDA-MB-231,Gemcitabine,Lapatinib,0
AU565,MK-1775,SB216763,1
HCC38,Trametinib,Crizotinib,0
HCT-116,Sapitinib,Palbociclib,0
EFM-192A,Docetaxel,Navitoclax,0
BT-549,Linsitinib,Taselisib,0
MFM-223,Axitinib,Paclitaxel,0
MDA-MB-361,MK-1775,Dabrafenib,0
HCC202,MK-2206,Pictilisib,0
SNU-407,AZD8055,Trametinib,0
HCC1806,Gemcitabine,SCH772984,0
BT-483,Temozolomide,Venetoclax,0
CAL-148,MK-2206,Afatinib,0
MDA-MB-415,OSI-027,Sorafenib,0
AsPC-1,AZD7762,Trametinib,0
MDA-MB-157,Taselisib,RO-3306,0
HCC1806,Lapatinib,AZD6482,0
PA-TU-8902,Galunisertib,Navitoclax,0
HCC38,Palbociclib,Dabrafenib,0
MDA-MB-330,OSI-027,Docetaxel,0
SK-CO-1,Navitoclax,AZD8055,1
MRK-nu-1,Axitinib,Cisplatin,0
HCC70,Linsitinib,NU7441,0
BT-549,Cisplatin,PD173074,0
HCT-116,MK-2206,SCH772984,0
CaR-1,Palbociclib,Taselisib,0
MIA-PaCa-2,OSI-027,MK-2206,0
HDQ-P1,Sapitinib,Luminespib,0
SNU-C5,Linsitinib,LGK974,0
HCT-15,Sapitinib,Navitoclax,0
MCF7,PD173074,Afatinib,0
BxPC-3,Paclitaxel,Dasatinib,1
