drug_a	drug_b	cell_line	label	fold
Linsitinib	Nilotinib	MRK-nu-1	0	0
Taselisib	Vinorelbine	SW620	0	0
Taselisib	SCH772984	SU8686	0	0
Dasatinib	Taselisib	PSN1	1	0
Trametinib	OSI-027	HuP-T3	0	0
AZD7762	Sapitinib	KM12	0	0
OSI-027	Alisertib	AU565	0	0
5-Fluorouracil	Galunisertib	KP-3	0	0
Navitoclax	PD173074	CAMA-1	0	0
Pictilisib	Alpelisib	HCC1187	0	0
Luminespib	GSK269962A	HCC1187	0	0
BMS-754807	Sapitinib	SNU-175	0	0
Vorinostat	Alpelisib	MDA-MB-175-VII	0	0
Gemcitabine	Nilotinib	MRK-nu-1	0	0
Crizotinib	SB216763	BT-474	0	0
SCH772984	5-Fluorouracil	KP-2	0	0
Vorinostat	Venetoclax	CAL-120	0	0
Vinorelbine	Camptothecin	HCT-15	0	0
Olaparib	Sorafenib	CAL-120	0	0
Crizotinib	OSI-027	KP-3	0	0
Docetaxel	Taselisib	Hs-578-T	0	0
Vorinostat	PF-4708671	MRK-nu-1	0	0
Trametinib	Sapitinib	CAL-120	0	0
Palbociclib	RO-3306	MDA-MB-175-VII	0	0
5-Fluorouracil	Sapitinib	CAMA-1	0	0
Dactolisib	Galunisertib	SU8686	0	0
MK-2206	Gemcitabine	KP-3	0	0
Dasatinib	Palbociclib	KP-3	0	0
Olaparib	Linsitinib	UACC-812	0	0
MK-2206	5-Fluorouracil	HCT-116	0	0
Palbociclib	MK-2206	BT-474	0	0
Taselisib	5-Fluorouracil	Hs-578-T	0	0
Gemcitabine	Venetoclax	MDA-MB-436	0	0
Linsitinib	5-Fluorouracil	CL-11	0	0
SB505124	BMS-754807	SK-CO-1	0	0
Irinotecan	Dasatinib	KP-3	0	0
Navitoclax	Docetaxel	BT-474	0	0
SB216763	Afatinib	HCT-15	0	0
Docetaxel	Alpelisib	MDA-MB-436	0	0
Crizotinib	Camptothecin	HCC1187	0	0
Vinorelbine	Dabrafenib	KM12	0	0
Cisplatin	Lapatinib	BT-474	0	0
AZD8055	Olaparib	SNU-175	0	0
Docetaxel	Tozasertib	HCC1187	0	0
Navitoclax	Taselisib	HCC1187	1	0
Oxaliplatin	Linsitinib	CL-11	0	0
Pictilisib	SB216763	CAL-120	0	0
Linsitinib	Uprosertib	CAL-120	0	0
Palbociclib	AZD8055	SK-CO-1	0	0
5-Fluorouracil	KU-55933	MDA-MB-175-VII	0	0
Olaparib	Pictilisib	CAL-120	0	0
Trametinib	Oxaliplatin	DiFi	0	0
Vorinostat	OSI-027	MDA-MB-436	0	0
SB505124	Oxaliplatin	SK-CO-1	0	0
Axitinib	Pictilisib	Hs-578-T	0	0
Olaparib	Bortezomib	Hs-578-T	0	0
Trametinib	Linsitinib	SW620	0	0
AZD7762	5-Fluorouracil	SU8686	0	0
Cisplatin	Dabrafenib	MRK-nu-1	0	0
LGK974	Trametinib	HCT-15	0	0
Dabrafenib	MK-2206	KM12	0	0
Dasatinib	LGK974	PSN1	0	0
AZD4547	LGK974	DiFi	0	0
Navitoclax	AZD4547	KM12	0	0
Navitoclax	AZD7762	AU565	0	0
Docetaxel	PD173074	AU565	0	0
MK-2206	Paclitaxel	MRK-nu-1	0	0
Vorinostat	RO-3306	HCC1187	0	0
Luminespib	Olaparib	AU565	0	0
5-Fluorouracil	MK-1775	CAL-120	0	0
Sapitinib	Uprosertib	BT-474	0	0
Axitinib	Dabrafenib	CAL-120	0	0
MK-1775	Sapitinib	MDA-MB-436	0	0
PD173074	Axitinib	HCC1187	0	0
BMS-754807	5-Fluorouracil	HCT-116	0	0
LGK974	Linsitinib	SNU-175	0	0
SCH772984	AZD4547	CL-11	0	0
AZD7762	SB216763	MDA-MB-175-VII	0	0
BMS-754807	AZD7762	SNU-175	1	0
Palbociclib	Taselisib	PSN1	1	0
Gemcitabine	Bortezomib	MDA-MB-175-VII	0	0
5-Fluorouracil	Vinorelbine	SNU-175	0	0
Linsitinib	Nilotinib	MDA-MB-436	0	0
SB216763	Camptothecin	CL-11	0	0
5-Fluorouracil	Alisertib	MRK-nu-1	0	0
Navitoclax	AZD4547	HCT-15	0	0
Vinorelbine	Afatinib	SW620	0	0
Oxaliplatin	BMS-754807	HCT-15	0	0
Dactolisib	Linsitinib	KP-3	0	0
5-Fluorouracil	AZD7762	BT-474	0	0
Docetaxel	MK-2206	HCC1187	0	0
Linsitinib	AZD7762	CCK-81	0	0
AZD7762	Taselisib	HCC1187	0	0
Vinorelbine	Navitoclax	DiFi	0	0
Navitoclax	MK-1775	AU565	0	0
AZD7762	PD173074	AU565	0	0
LGK974	SB216763	HCT-116	0	0
MK-2206	Dabrafenib	SK-CO-1	0	0
Axitinib	Lapatinib	MRK-nu-1	0	0
Lapatinib	SCH772984	CAL-120	0	0
Vorinostat	Olaparib	MDA-MB-175-VII	0	0
PD173074	Paclitaxel	MDA-MB-175-VII	0	0
MK-2206	Olaparib	HuP-T3	0	0
MK-1775	Paclitaxel	HuP-T3	0	0
OSI-027	Taselisib	CAL-120	0	0
Palbociclib	SB216763	BT-474	0	0
Taselisib	Afatinib	HCT-15	0	0
Dasatinib	Sorafenib	HuP-T3	0	0
OSI-027	Crizotinib	BT-474	0	0
Navitoclax	OSI-027	Hs-578-T	0	0
Navitoclax	Dabrafenib	CCK-81	0	0
AZD7762	LGK974	RCM-1	0	0
Cisplatin	Afatinib	Hs-578-T	0	0
Pictilisib	Nilotinib	MRK-nu-1	0	0
Lapatinib	Olaparib	BT-474	0	0
Navitoclax	Lapatinib	HCC1187	1	0
Crizotinib	Taselisib	Hs-578-T	0	0
Docetaxel	MK-1775	HCC1187	0	0
SCH772984	Taselisib	SK-CO-1	0	0
5-Fluorouracil	Crizotinib	SW620	0	0
LGK974	Afatinib	SK-CO-1	0	0
LGK974	Irinotecan	KP-3	0	0
Galunisertib	Oxaliplatin	KP-3	0	0
AZD7762	Taselisib	Hs-578-T	1	0
Ruxolitinib	Navitoclax	KP-3	0	0
SB505124	Sapitinib	HCT-116	0	0
AZD7762	OSI-027	KP-3	0	0
OSI-027	Wee1 Inhibitor	MDA-MB-436	0	0
Docetaxel	Sorafenib	MDA-MB-175-VII	0	0
MK-1775	5-Fluorouracil	PSN1	0	0
Trametinib	Palbociclib	AU565	0	0
5-Fluorouracil	Gemcitabine	MDA-MB-436	0	0
MK-2206	Temozolomide	AU565	0	0
Gemcitabine	5-Fluorouracil	BT-474	0	0
Taselisib	Camptothecin	MDA-MB-436	0	0
SB505124	Sapitinib	HCT-15	0	0
OSI-027	MK-2206	MRK-nu-1	1	0
AZD7762	Alisertib	MDA-MB-175-VII	0	0
Temozolomide	Gemcitabine	CAMA-1	0	0
Gemcitabine	BI-2536	CAL-120	0	0
Linsitinib	Doramapimod	HCC1187	0	0
Ruxolitinib	Oxaliplatin	PSN1	0	0
Palbociclib	NU7441	HCC1187	0	0
Axitinib	Lapatinib	MDA-MB-175-VII	0	0
Linsitinib	Vinorelbine	HCT-116	0	0
Linsitinib	MK-1775	RCM-1	0	0
Docetaxel	Linsitinib	BT-474	0	0
PD173074	Bortezomib	UACC-812	0	0
Olaparib	Oxaliplatin	HuP-T3	0	0
MK-2206	Tozasertib	MDA-MB-436	0	0
Luminespib	PF-4708671	BT-474	0	0
Linsitinib	Afatinib	SW620	0	0
Axitinib	Venetoclax	Hs-578-T	0	0
Vorinostat	Gemcitabine	Hs-578-T	0	0
MK-2206	Galunisertib	KP-3	0	0
LGK974	Sapitinib	HCT-116	0	0
Olaparib	Trametinib	PSN1	0	0
PD173074	Alisertib	AU565	0	0
Olaparib	MK-2206	CCK-81	0	0
Palbociclib	AZD7762	CAL-120	0	0
AZD7762	Crizotinib	HCC1187	0	0
Luminespib	Alisertib	AU565	0	0
Axitinib	KU-55933	MDA-MB-436	0	0
Oxaliplatin	Afatinib	DiFi	0	0
Dabrafenib	5-Fluorouracil	DiFi	0	0
SCH772984	LGK974	SW620	0	0
Pictilisib	Linsitinib	BT-474	0	0
Palbociclib	MK-2206	HuP-T3	0	0
Lapatinib	NU7441	MDA-MB-175-VII	1	0
Camptothecin	Vinorelbine	DiFi	0	0
Lapatinib	Uprosertib	AU565	0	0
LGK974	SCH772984	KP-2	0	0
Taselisib	Uprosertib	MRK-nu-1	0	0
MK-1775	5-Fluorouracil	KM12	0	0
Trametinib	Irinotecan	PSN1	0	0
Crizotinib	Irinotecan	KP-3	0	0
Docetaxel	PD173074	MRK-nu-1	0	0
5-Fluorouracil	ZM447439	MRK-nu-1	0	0
Palbociclib	Lapatinib	KP-2	1	0
Docetaxel	AZD7762	MDA-MB-175-VII	0	0
SCH772984	Paclitaxel	HuP-T3	0	0
MK-2206	Entinostat	CAL-120	0	0
Sapitinib	Axitinib	UACC-812	0	0
Trametinib	Oxaliplatin	SK-CO-1	0	0
Axitinib	PF-4708671	CAL-120	0	0
MK-1775	RO-3306	AU565	0	0
AZD4547	AZD8055	DiFi	0	0
Cisplatin	Sorafenib	PSN1	0	0
Crizotinib	Pictilisib	CAL-120	0	0
Docetaxel	Entinostat	MRK-nu-1	0	0
5-Fluorouracil	BMS-754807	CL-11	0	0
Bortezomib	Cisplatin	MDA-MB-436	0	0
Erlotinib	Lapatinib	SU8686	0	0
Dabrafenib	Taselisib	CL-11	0	0
Temozolomide	Crizotinib	MRK-nu-1	0	0
SB505124	Sapitinib	SNU-175	0	0
AZD7762	Tozasertib	Hs-578-T	1	0
Docetaxel	Paclitaxel	CAL-120	0	0
Olaparib	Oxaliplatin	SNU-175	0	0
Palbociclib	RO-3306	CAMA-1	0	0
Olaparib	Venetoclax	BT-474	0	0
5-Fluorouracil	Paclitaxel	SU8686	0	0
Pictilisib	AZD8055	Hs-578-T	0	0
Docetaxel	PF-4708671	CAMA-1	0	0
Temozolomide	NU7441	MRK-nu-1	0	0
Navitoclax	Camptothecin	CCK-81	0	0
Sapitinib	Taselisib	MDA-MB-436	0	0
Gemcitabine	Taselisib	SU8686	0	0
Trametinib	RO-3306	MDA-MB-175-VII	0	0
Linsitinib	BI-2536	CAL-120	0	0
MK-1775	Palbociclib	CAMA-1	0	0
OSI-027	Oxaliplatin	HuP-T3	0	0
MK-2206	MK-1775	MDA-MB-436	0	0
Olaparib	Ruxolitinib	PSN1	0	0
Temozolomide	Crizotinib	MDA-MB-175-VII	0	0
Palbociclib	Trametinib	KP-3	0	0
MK-1775	Cisplatin	CAMA-1	0	0
Palbociclib	Vorinostat	MDA-MB-175-VII	0	0
AZD7762	Afatinib	HCT-116	0	0
Luminespib	GSK269962A	BT-474	0	0
MK-2206	Olaparib	KP-2	0	0
Sapitinib	Wee1 Inhibitor	BT-474	0	0
MK-1775	Dasatinib	KP-3	0	0
OSI-027	BI-2536	AU565	0	0
AZD7762	AZD6482	BT-474	0	0
5-Fluorouracil	Lapatinib	CAMA-1	0	0
5-Fluorouracil	Pictilisib	MRK-nu-1	0	0
LGK974	Afatinib	RCM-1	0	0
Galunisertib	Irinotecan	SU8686	0	0
Pictilisib	RO-3306	Hs-578-T	0	0
Sapitinib	Gemcitabine	CAL-120	0	0
Trametinib	OSI-027	Hs-578-T	0	0
Trametinib	MK-1775	KM12	0	0
AZD7762	Palbociclib	MDA-MB-175-VII	0	0
Axitinib	BI-2536	MDA-MB-175-VII	0	0
Bortezomib	Luminespib	CAL-120	0	0
Navitoclax	MK-2206	SNU-175	0	0
Olaparib	Vinorelbine	RCM-1	0	0
Vorinostat	Doramapimod	HCC1187	0	0
LGK974	5-Fluorouracil	SNU-175	0	0
MK-2206	Sapitinib	HCT-116	0	0
LGK974	AZD4547	SW620	0	0
Olaparib	Dabrafenib	CAMA-1	0	0
Lapatinib	OSI-027	MDA-MB-175-VII	1	0
Bortezomib	MK-1775	BT-474	0	0
Crizotinib	SCH772984	SW620	0	0
Vorinostat	Cisplatin	Hs-578-T	0	0
Taselisib	SB505124	SK-CO-1	0	0
5-Fluorouracil	Entinostat	AU565	0	0
Camptothecin	LGK974	SW620	0	0
Axitinib	AZD7762	AU565	0	0
Olaparib	Dabrafenib	Hs-578-T	0	0
Gemcitabine	Lapatinib	KP-3	0	0
Axitinib	Wee1 Inhibitor	CAL-120	0	0
Olaparib	PF-4708671	MRK-nu-1	0	0
Sapitinib	Linsitinib	CAL-120	0	0
Palbociclib	ZM447439	AU565	0	0
Trametinib	MK-2206	KM12	0	0
Palbociclib	Temozolomide	MDA-MB-436	0	0
Linsitinib	AZD8055	HCT-116	0	0
MK-1775	Dabrafenib	CL-11	0	0
Temozolomide	GSK269962A	CAL-120	0	0
Crizotinib	AZD6482	CAL-120	0	0
Taselisib	LGK974	HCT-116	0	0
Linsitinib	NU7441	HCC1187	0	0
AZD7762	AZD8055	CAMA-1	0	0
Dabrafenib	Crizotinib	CL-11	0	0
Cisplatin	Uprosertib	AU565	0	0
5-Fluorouracil	Cisplatin	MDA-MB-436	0	0
Vorinostat	Pictilisib	HCC1187	0	0
MK-2206	5-Fluorouracil	SU8686	0	0
Navitoclax	Olaparib	MRK-nu-1	0	0
Axitinib	Alisertib	MDA-MB-436	0	0
Palbociclib	Cisplatin	SU8686	0	0
MK-2206	Ribociclib	MDA-MB-436	0	0
MK-2206	Trametinib	HCC1187	0	0
Navitoclax	Olaparib	MDA-MB-175-VII	0	0
Sapitinib	Camptothecin	CL-11	0	0
Taselisib	AZD8055	SW620	0	0
PD173074	KU-55933	CAMA-1	0	0
Luminespib	PD173074	HCC1187	0	0
Docetaxel	Cisplatin	MDA-MB-436	0	0
Trametinib	MK-2206	CAL-120	0	0
Navitoclax	BI-2536	AU565	0	0
Cisplatin	Gemcitabine	HCC1187	0	0
Cisplatin	Uprosertib	MRK-nu-1	0	0
Dabrafenib	SB216763	DiFi	0	0
Cisplatin	JQ1	Hs-578-T	0	0
Navitoclax	Dasatinib	SU8686	0	0
Olaparib	Pictilisib	BT-474	0	0
Bortezomib	Vorinostat	CAMA-1	0	0
Trametinib	Dactolisib	PSN1	1	0
Gemcitabine	PD173074	CAMA-1	0	0
AZD7762	LGK974	SU8686	0	0
Navitoclax	OSI-027	HCC1187	0	0
Cisplatin	Dabrafenib	Hs-578-T	0	0
Luminespib	SCH772984	Hs-578-T	1	0
Palbociclib	Navitoclax	CCK-81	0	0
AZD7762	LGK974	HCT-15	0	0
Irinotecan	Sorafenib	SU8686	0	0
Vinorelbine	AZD8055	CCK-81	0	0
Sapitinib	BMS-754807	HCT-15	0	0
5-Fluorouracil	AZD7762	CAL-120	0	0
5-Fluorouracil	Palbociclib	SW620	0	0
Temozolomide	PD173074	UACC-812	0	0
Irinotecan	Olaparib	HuP-T3	0	0
Pictilisib	Linsitinib	MDA-MB-175-VII	0	0
Navitoclax	Cisplatin	MRK-nu-1	0	0
Sapitinib	Vinorelbine	DiFi	0	0
Taselisib	AZD4547	HCT-15	0	0
Palbociclib	SB216763	HCT-15	0	0
Taselisib	Tozasertib	Hs-578-T	0	0
Trametinib	NU7441	CAMA-1	0	0
Paclitaxel	Oxaliplatin	PSN1	0	0
Docetaxel	Temozolomide	Hs-578-T	0	0
Cisplatin	ZM447439	CAMA-1	0	0
AZD7762	Docetaxel	AU565	0	0
Galunisertib	Ruxolitinib	PSN1	0	0
Trametinib	Pictilisib	Hs-578-T	0	0
Palbociclib	Temozolomide	Hs-578-T	0	0
Temozolomide	Alpelisib	MRK-nu-1	0	0
Olaparib	MK-1775	CAMA-1	0	0
Vinorelbine	MK-2206	RCM-1	0	0
Navitoclax	Temozolomide	MDA-MB-175-VII	0	0
Pictilisib	Nilotinib	HCC1187	0	0
5-Fluorouracil	Navitoclax	UACC-812	0	0
Temozolomide	Vorinostat	AU565	0	0
Cisplatin	Sapitinib	Hs-578-T	0	0
Navitoclax	GSK269962A	MRK-nu-1	0	0
Trametinib	Axitinib	CAL-120	0	0
AZD7762	Erlotinib	SU8686	0	0
Lapatinib	PD173074	CAL-120	0	0
Taselisib	Docetaxel	AU565	0	0
MK-1775	Taselisib	SK-CO-1	0	0
Cisplatin	ZM447439	MRK-nu-1	0	0
Docetaxel	Paclitaxel	MRK-nu-1	0	0
AZD7762	SB216763	CCK-81	0	0
Vinorelbine	AZD8055	KM12	0	0
Axitinib	Nilotinib	BT-474	0	0
Vorinostat	Luminespib	MDA-MB-175-VII	0	0
Trametinib	Camptothecin	HCC1187	0	0
Gemcitabine	Crizotinib	KP-3	0	0
Trametinib	Oxaliplatin	KM12	0	0
MK-2206	Afatinib	CCK-81	0	0
Gemcitabine	Afatinib	MDA-MB-175-VII	0	0
MK-1775	AZD8055	CAL-120	0	0
Taselisib	Alisertib	Hs-578-T	1	0
OSI-027	Wee1 Inhibitor	MDA-MB-175-VII	0	0
Olaparib	NU7441	MRK-nu-1	0	0
BMS-754807	AZD4547	RCM-1	1	0
Camptothecin	Olaparib	CCK-81	0	0
Bortezomib	Temozolomide	MRK-nu-1	0	0
Taselisib	LGK974	HCT-15	1	0
Sapitinib	MK-1775	HCT-15	0	0
Trametinib	MK-2206	CL-11	1	0
BMS-754807	AZD7762	SK-CO-1	0	0
Taselisib	Doramapimod	Hs-578-T	0	0
Vorinostat	AZD8055	MDA-MB-175-VII	0	0
SCH772984	Navitoclax	RCM-1	0	0
Oxaliplatin	Lapatinib	KP-2	0	0
Dabrafenib	AZD4547	DiFi	0	0
Linsitinib	Navitoclax	Hs-578-T	0	0
Docetaxel	SCH772984	MDA-MB-436	0	0
Trametinib	JQ1	BT-474	0	0
Oxaliplatin	Sapitinib	CL-11	0	0
Dactolisib	Crizotinib	KP-3	1	0
AZD7762	MK-1775	UACC-812	0	0
Navitoclax	Afatinib	CAMA-1	0	0
Gemcitabine	Dabrafenib	MRK-nu-1	0	0
Bortezomib	PF-4708671	MRK-nu-1	0	0
Palbociclib	Camptothecin	DiFi	0	0
Dasatinib	Linsitinib	PSN1	1	0
MK-2206	Tozasertib	Hs-578-T	0	0
Oxaliplatin	SB216763	KM12	0	0
Olaparib	Gemcitabine	KP-3	0	0
Dasatinib	Erlotinib	KP-3	0	0
Taselisib	Ribociclib	MDA-MB-436	0	0
AZD7762	LGK974	SW620	0	0
SCH772984	Afatinib	RCM-1	0	0
Oxaliplatin	Crizotinib	HCT-116	0	0
Sapitinib	Taselisib	MDA-MB-175-VII	0	0
Oxaliplatin	Dabrafenib	HCT-116	0	0
Luminespib	Dabrafenib	HCC1187	0	0
5-Fluorouracil	AZD7762	CL-11	0	0
AZD7762	Temozolomide	MRK-nu-1	0	0
Cisplatin	Linsitinib	AU565	1	0
Olaparib	SB216763	HCC1187	0	0
Gemcitabine	Axitinib	MDA-MB-175-VII	0	0
5-Fluorouracil	SB216763	HCT-15	0	0
Vinorelbine	SB216763	RCM-1	0	0
Sapitinib	Camptothecin	BT-474	0	0
Bortezomib	Nilotinib	MRK-nu-1	0	0
MK-2206	Dabrafenib	SNU-175	0	0
OSI-027	Irinotecan	SU8686	0	0
Linsitinib	MK-1775	MDA-MB-175-VII	0	0
MK-2206	LGK974	KM12	0	0
Erlotinib	LGK974	HuP-T3	0	0
Navitoclax	Temozolomide	CAL-120	0	0
Afatinib	Linsitinib	SK-CO-1	0	0
Vorinostat	Ribociclib	CAMA-1	0	0
AZD8055	Palbociclib	KM12	0	0
Taselisib	Nilotinib	MDA-MB-436	0	0
MK-1775	Taselisib	KP-2	0	0
Navitoclax	Camptothecin	AU565	0	0
MK-1775	Linsitinib	HuP-T3	0	0
Navitoclax	Gemcitabine	KP-2	1	0
Navitoclax	Lapatinib	SU8686	0	0
Pictilisib	Navitoclax	MRK-nu-1	0	0
SCH772984	Palbociclib	KP-2	0	0
MK-2206	Gemcitabine	SU8686	0	0
Axitinib	Olaparib	MRK-nu-1	0	0
Sapitinib	Axitinib	MRK-nu-1	0	0
OSI-027	Taselisib	UACC-812	0	0
Axitinib	Pictilisib	MDA-MB-436	0	0
Olaparib	Palbociclib	MRK-nu-1	0	0
Dasatinib	LGK974	KP-3	0	0
SB505124	Sapitinib	DiFi	0	0
Sapitinib	MK-1775	CCK-81	0	0
Lapatinib	Docetaxel	CAMA-1	0	0
Lapatinib	Sorafenib	PSN1	0	0
Navitoclax	MK-1775	HuP-T3	0	0
Taselisib	OSI-027	MDA-MB-436	0	0
Linsitinib	AZD6482	CAL-120	1	0
PD173074	Temozolomide	BT-474	0	0
AZD4547	Vinorelbine	RCM-1	1	0
Gemcitabine	Wee1 Inhibitor	Hs-578-T	0	0
MK-1775	Galunisertib	PSN1	0	0
Crizotinib	Camptothecin	CL-11	0	0
MK-1775	Olaparib	KP-2	0	0
Sapitinib	Oxaliplatin	KM12	0	0
Linsitinib	Gemcitabine	UACC-812	0	0
Ruxolitinib	Oxaliplatin	SU8686	0	0
PD173074	Camptothecin	Hs-578-T	0	0
Olaparib	Cisplatin	SU8686	0	0
5-Fluorouracil	Olaparib	SK-CO-1	0	0
Navitoclax	JQ1	MRK-nu-1	0	0
AZD4547	5-Fluorouracil	SW620	0	0
PD173074	Docetaxel	MRK-nu-1	0	0
Trametinib	SB216763	MRK-nu-1	0	0
Taselisib	5-Fluorouracil	BT-474	0	0
Vorinostat	Tozasertib	BT-474	0	0
Olaparib	Linsitinib	CAL-120	0	0
Luminespib	ZM447439	Hs-578-T	0	0
Sapitinib	Olaparib	HCT-116	0	0
MK-2206	Navitoclax	KM12	0	0
Trametinib	MK-1775	AU565	0	0
Cisplatin	Docetaxel	MDA-MB-175-VII	0	0
Dactolisib	Navitoclax	KP-3	0	0
Afatinib	Oxaliplatin	SW620	0	0
Camptothecin	AZD7762	DiFi	0	0
Luminespib	AZD6482	HCC1187	0	0
AZD7762	Sapitinib	CL-11	0	0
MK-2206	Doramapimod	AU565	0	0
Oxaliplatin	Palbociclib	SW620	0	0
Trametinib	Afatinib	SW620	0	0
Camptothecin	SCH772984	SNU-175	0	0
Paclitaxel	Navitoclax	SU8686	1	0
MK-2206	Olaparib	CAMA-1	0	0
5-Fluorouracil	Temozolomide	AU565	0	0
Temozolomide	Ribociclib	Hs-578-T	0	0
Crizotinib	MK-2206	MDA-MB-175-VII	0	0
Cisplatin	Doramapimod	MRK-nu-1	0	0
MK-1775	Navitoclax	CAL-120	1	0
BMS-754807	AZD8055	CCK-81	0	0
Palbociclib	OSI-027	CAMA-1	0	0
Navitoclax	PF-4708671	BT-474	0	0
Vinorelbine	Olaparib	KM12	0	0
Taselisib	AZD7762	MDA-MB-436	0	0
Palbociclib	Dactolisib	PSN1	0	0
Erlotinib	Cisplatin	PSN1	0	0
OSI-027	AZD7762	HuP-T3	0	0
5-Fluorouracil	Palbociclib	CCK-81	0	0
Taselisib	Navitoclax	PSN1	0	0
Luminespib	Uprosertib	MDA-MB-436	0	0
MK-2206	Nilotinib	Hs-578-T	0	0
Palbociclib	Alisertib	CAL-120	0	0
Taselisib	Trametinib	SW620	0	0
Trametinib	Gemcitabine	HuP-T3	0	0
AZD7762	Alisertib	Hs-578-T	0	0
Sapitinib	Bortezomib	UACC-812	0	0
MK-2206	AZD7762	RCM-1	0	0
Luminespib	Olaparib	MRK-nu-1	0	0
Taselisib	5-Fluorouracil	CAMA-1	0	0
Pictilisib	Wee1 Inhibitor	BT-474	0	0
Docetaxel	Alisertib	BT-474	0	0
Navitoclax	Sapitinib	DiFi	0	0
Bortezomib	Vorinostat	AU565	0	0
Taselisib	Vinorelbine	HCT-15	0	0
MK-2206	Vinorelbine	RCM-1	0	0
Vinorelbine	LGK974	SW620	0	0
Olaparib	Lapatinib	BT-474	0	0
AZD7762	SB216763	HCT-116	0	0
PD173074	MK-2206	UACC-812	0	0
5-Fluorouracil	Linsitinib	SK-CO-1	0	0
Taselisib	MK-2206	CL-11	0	0
Temozolomide	Paclitaxel	HCC1187	0	0
